Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",100.11,100.99,99.78,100.86,100.86,"6,758,700"
"Jul 27, 2023",101.50,101.76,98.91,99.35,99.35,"8,049,800"
"Jul 26, 2023",99.49,100.13,98.57,99.41,99.41,"8,993,500"
"Jul 25, 2023",99.52,100.89,99.11,100.32,100.32,"9,202,200"
"Jul 24, 2023",97.27,98.27,96.78,98.25,98.25,"9,054,900"
"Jul 21, 2023",97.88,97.99,96.33,97.25,97.25,"15,377,100"
"Jul 20, 2023",98.55,100.45,97.05,97.86,97.86,"22,810,200"
"Jul 19, 2023",103.90,104.79,102.57,103.06,103.06,"11,204,800"
"Jul 18, 2023",103.69,103.73,102.01,103.15,103.15,"10,355,400"
"Jul 17, 2023",104.68,105.03,102.59,104.79,104.79,"10,722,600"
"Jul 14, 2023",106.00,107.30,104.86,105.14,105.14,"9,511,000"
"Jul 13, 2023",105.00,105.65,102.52,105.57,105.57,"9,265,900"
"Jul 12, 2023",102.83,104.43,102.76,103.90,103.90,"10,202,000"
"Jul 11, 2023",102.33,102.33,100.14,101.26,101.26,"7,684,600"
"Jul 10, 2023",100.25,100.75,99.40,99.77,99.77,"8,041,600"
"Jul 07, 2023",99.08,101.94,99.00,100.23,100.23,"8,034,000"
"Jul 06, 2023",99.10,99.56,98.60,99.41,99.41,"9,140,800"
"Jul 05, 2023",101.40,103.09,100.96,100.99,100.99,"9,010,800"
"Jul 03, 2023",102.25,103.68,102.07,103.15,103.15,"5,638,400"
"Jun 30, 2023",101.4,101.89,100.41,100.92,100.92,"11,701,700"
"Jun 29, 2023",101.34,101.52,100.02,100.64,100.64,"7,383,900"
"Jun 28, 2023",100.5,101.88,100.22,100.92,100.92,"8,160,900"
"Jun 27, 2023",101.15,102.79,100.02,102.08,102.08,"9,732,000"
"Jun 26, 2023",102.02,103.04,100.09,100.11,100.11,"8,560,000"
"Jun 23, 2023",101.52,102.19,101.01,101.91,101.91,"8,898,900"
"Jun 22, 2023",101.42,103.43,101.33,103.13,103.13,"8,575,900"
"Jun 21, 2023",103.15,103.73,101.62,101.64,101.64,"9,340,400"
"Jun 20, 2023",104.18,104.88,103.07,103.98,103.98,"9,295,500"
"Jun 16, 2023",105.43,105.75,104.35,104.57,104.57,"11,427,300"
"Jun 15, 2023",106.27,106.66,105.07,105.18,105.18,"11,987,900"
"Jun 14, 2023",106.03,107.7,105.22,107.41,106.96,"12,862,600"
"Jun 13, 2023",110.0,110.69,106.74,106.8,106.35,"17,858,600"
"Jun 12, 2023",104.34,107.39,104.31,107.06,106.61,"20,568,100"
"Jun 09, 2023",102.7,104.68,102.25,102.8,102.37,"14,902,400"
"Jun 08, 2023",98.99,100.7,98.63,99.94,99.52,"9,074,200"
"Jun 07, 2023",101.38,103.02,99.54,100.29,99.87,"14,367,500"
"Jun 06, 2023",97.61,100.6,97.42,99.82,99.4,"13,827,600"
"Jun 05, 2023",98.01,98.81,94.25,98.05,97.64,"10,568,500"
"Jun 02, 2023",101.25,101.3,98.62,98.94,98.53,"13,079,500"
"Jun 01, 2023",98.68,100.59,98.6,98.84,98.43,"14,998,500"
"May 31, 2023",99.73,99.98,98.06,98.59,98.18,"22,206,700"
"May 30, 2023",103.79,105.24,101.53,101.98,101.55,"25,248,000"
