Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",78.37,78.83,77.04,77.22,77.22,"2,745,600"
"Jun 29, 2023",78.29,79.36,77.03,77.37,77.37,"3,809,400"
"Jun 28, 2023",76.58,79.38,76.34,78.25,78.25,"3,425,100"
"Jun 27, 2023",76.25,77.24,75.45,76.77,76.77,"2,048,300"
"Jun 26, 2023",76.04,77.69,75.14,75.23,75.23,"1,950,600"
"Jun 23, 2023",75.47,76.59,75.08,76.24,76.24,"3,797,800"
"Jun 22, 2023",75.88,77.53,75.42,76.80,76.80,"2,408,800"
"Jun 21, 2023",75.97,77.07,75.23,76.46,76.46,"3,166,600"
"Jun 20, 2023",75.63,76.70,74.22,75.68,75.68,"2,928,500"
"Jun 16, 2023",77.59,77.75,76.06,76.43,76.43,"2,921,500"
"Jun 15, 2023",76.00,77.74,75.86,77.27,77.27,"2,508,200"
"Jun 14, 2023",77.33,77.36,75.81,76.81,76.81,"2,958,600"
"Jun 13, 2023",76.38,77.72,75.56,77.52,77.52,"3,063,200"
"Jun 12, 2023",74.75,75.61,73.90,75.48,75.48,"2,908,300"
"Jun 09, 2023",74.85,75.44,74.08,74.58,74.58,"2,412,200"
"Jun 08, 2023",73.41,75.30,72.79,74.54,74.54,"3,109,400"
"Jun 07, 2023",75.94,77.14,73.58,73.66,73.66,"4,507,200"
"Jun 06, 2023",75.13,76.51,74.32,74.88,74.88,"4,312,000"
"Jun 05, 2023",73.49,76.06,72.70,75.37,75.37,"4,527,000"
"Jun 02, 2023",75.74,78.60,74.08,74.24,74.24,"7,142,000"
"Jun 01, 2023",70.12,73.63,69.85,73.26,73.26,"4,517,500"
"May 31, 2023",69.55,70.39,68.53,70.08,70.08,"3,585,900"
"May 30, 2023",69.01,70.04,68.71,69.98,69.98,"3,280,000"
"May 26, 2023",66.50,68.26,66.34,67.67,67.67,"2,337,100"
"May 25, 2023",67.26,67.60,65.68,66.26,66.26,"2,006,400"
"May 24, 2023",66.08,66.82,64.56,66.30,66.30,"3,208,600"
"May 23, 2023",67.77,69.14,66.74,66.82,66.82,"2,655,600"
"May 22, 2023",66.76,69.37,66.71,68.52,68.52,"3,085,900"
"May 19, 2023",67.59,67.70,66.31,66.82,66.82,"2,230,000"
"May 18, 2023",66.30,68.26,66.19,67.52,67.52,"3,433,800"
"May 17, 2023",64.47,66.27,63.61,66.16,66.16,"3,801,900"
"May 16, 2023",63.64,64.83,63.38,64.14,64.14,"3,297,400"
"May 15, 2023",62.27,64.12,61.58,63.98,63.98,"3,714,400"
"May 12, 2023",64.16,65.08,61.30,62.30,62.30,"6,960,800"
"May 11, 2023",67.73,68.25,60.56,64.53,64.53,"17,176,500"
"May 10, 2023",65.55,66.42,64.50,64.97,64.97,"9,553,500"
"May 09, 2023",63.85,64.56,63.21,64.12,64.12,"3,468,100"
"May 08, 2023",62.55,65.03,62.12,64.67,64.67,"4,371,600"
"May 05, 2023",62.01,62.84,61.37,62.70,62.70,"2,431,100"
"May 04, 2023",62.79,63.62,61.38,61.44,61.44,"3,346,000"
"May 03, 2023",63.35,63.96,62.41,62.51,62.51,"5,232,000"
"May 02, 2023",62.94,63.37,61.43,62.58,62.58,"3,797,100"
"May 01, 2023",63.86,64.52,62.48,62.94,62.94,"5,457,700"
"Apr 28, 2023",64.22,65.67,63.20,64.34,64.34,"4,235,400"
"Apr 27, 2023",61.73,64.79,61.68,64.22,64.22,"5,890,000"
"Apr 26, 2023",60.50,61.99,59.98,60.00,60.00,"4,191,200"
"Apr 25, 2023",61.27,61.99,59.36,59.37,59.37,"3,198,400"
"Apr 24, 2023",62.26,62.92,60.81,61.46,61.46,"1,990,200"
"Apr 21, 2023",62.21,62.84,61.74,62.19,62.19,"2,106,300"
"Apr 20, 2023",60.53,63.18,60.52,62.22,62.22,"3,290,600"
"Apr 19, 2023",60.93,62.15,60.85,61.61,61.61,"1,510,600"
"Apr 18, 2023",62.51,63.39,61.49,62.12,62.12,"3,209,000"
"Apr 17, 2023",60.70,61.36,60.04,61.20,61.20,"1,525,300"
"Apr 14, 2023",61.00,61.70,60.08,60.69,60.69,"1,501,400"
"Apr 13, 2023",61.03,61.89,60.84,61.33,61.33,"1,949,900"
"Apr 12, 2023",62.60,63.08,59.99,60.02,60.02,"2,257,100"
"Apr 11, 2023",61.49,61.94,60.52,61.51,61.51,"2,544,200"
"Apr 10, 2023",59.84,61.76,59.66,61.52,61.52,"3,286,400"
"Apr 06, 2023",58.00,60.96,57.17,60.85,60.85,"3,240,600"
"Apr 05, 2023",59.73,59.84,57.52,58.64,58.64,"2,923,100"
"Apr 04, 2023",61.11,61.89,60.12,60.58,60.58,"2,121,200"
"Apr 03, 2023",60.00,60.64,59.20,60.46,60.46,"2,104,300"
"Mar 31, 2023",60.10,61.34,59.57,60.91,60.91,"3,407,200"
"Mar 30, 2023",61.23,61.44,59.63,60.09,60.09,"2,505,500"
"Mar 29, 2023",59.54,59.99,58.30,59.84,59.84,"2,476,000"
"Mar 28, 2023",59.63,59.65,58.21,58.24,58.24,"2,829,100"
"Mar 27, 2023",61.00,61.66,59.55,59.90,59.90,"4,109,700"
"Mar 24, 2023",59.67,60.52,58.82,60.45,60.45,"2,808,100"
"Mar 23, 2023",59.31,62.53,59.00,60.19,60.19,"4,035,300"
"Mar 22, 2023",59.50,60.40,57.81,57.89,57.89,"2,384,800"
"Mar 21, 2023",57.35,59.51,57.34,59.24,59.24,"2,755,500"
"Mar 20, 2023",58.05,58.23,56.30,56.84,56.84,"2,970,800"
"Mar 17, 2023",57.77,59.20,56.89,58.51,58.51,"4,666,100"
"Mar 16, 2023",55.18,59.13,54.90,58.88,58.88,"4,157,200"
"Mar 15, 2023",55.22,56.34,54.58,55.09,55.09,"3,713,200"
"Mar 14, 2023",55.87,56.96,55.37,56.53,56.53,"3,729,400"
"Mar 13, 2023",52.10,55.06,50.33,54.25,54.25,"3,518,400"
"Mar 10, 2023",55.40,55.59,52.38,53.35,53.35,"4,469,800"
"Mar 09, 2023",57.00,59.67,55.37,55.76,55.76,"6,017,000"
"Mar 08, 2023",57.50,59.19,57.42,58.22,58.22,"4,304,800"
"Mar 07, 2023",56.89,58.87,56.59,57.64,57.64,"3,546,500"
"Mar 06, 2023",57.95,58.63,56.81,56.83,56.83,"3,461,000"
"Mar 03, 2023",56.81,57.77,56.06,57.29,57.29,"3,818,600"
"Mar 02, 2023",54.82,56.41,54.50,56.39,56.39,"3,184,800"
"Mar 01, 2023",55.75,56.50,55.14,55.41,55.41,"2,983,100"
"Feb 28, 2023",55.38,57.06,55.20,55.96,55.96,"4,048,500"
"Feb 27, 2023",55.37,55.54,54.42,55.08,55.08,"3,238,200"
"Feb 24, 2023",54.33,55.55,54.10,54.97,54.97,"3,960,500"
"Feb 23, 2023",57.02,57.79,54.83,56.25,56.25,"4,683,400"
"Feb 22, 2023",56.80,57.80,55.59,56.41,56.41,"5,325,800"
"Feb 21, 2023",58.40,59.94,55.90,56.75,56.75,"6,998,600"
"Feb 17, 2023",62.12,64.30,60.12,60.30,60.30,"8,217,300"
"Feb 16, 2023",64.90,65.79,62.63,63.07,63.07,"11,457,100"
