Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",53.87,54.69,53.71,54.17,54.17,"6,036,100"
"Jul 27, 2023",53.94,54.28,52.82,53.26,53.26,"7,710,000"
"Jul 26, 2023",54.30,54.89,53.59,54.57,54.57,"5,921,400"
"Jul 25, 2023",55.13,55.16,53.32,54.22,54.22,"12,127,000"
"Jul 24, 2023",57.07,57.27,55.69,56.06,56.06,"8,119,000"
"Jul 21, 2023",57.24,58.23,56.40,57.61,57.61,"11,414,200"
"Jul 20, 2023",55.83,57.56,54.65,56.57,56.57,"22,003,300"
"Jul 19, 2023",54.58,55.12,54.03,54.80,54.80,"8,730,600"
"Jul 18, 2023",53.17,55.01,53.12,54.79,54.79,"5,582,300"
"Jul 17, 2023",53.30,54.18,53.16,53.33,53.33,"4,609,400"
"Jul 14, 2023",55.39,55.40,52.96,53.34,53.34,"7,535,600"
"Jul 13, 2023",56.90,57.45,55.11,55.23,55.23,"8,583,700"
"Jul 12, 2023",56.20,56.64,55.00,55.40,55.40,"5,881,300"
"Jul 11, 2023",56.20,56.36,55.27,56.18,56.18,"4,397,800"
"Jul 10, 2023",55.34,56.49,55.16,56.33,56.33,"4,779,300"
"Jul 07, 2023",54.55,55.74,54.48,55.39,55.39,"5,323,500"
"Jul 06, 2023",54.87,55.31,54.15,54.42,54.42,"4,935,000"
"Jul 05, 2023",54.57,56.23,54.25,55.63,55.63,"5,543,500"
"Jul 03, 2023",54.49,55.30,54.39,55.06,55.06,"3,226,300"
"Jun 30, 2023",54.39,54.96,53.9,54.87,54.87,"10,047,200"
"Jun 29, 2023",56.42,56.76,53.61,53.72,53.72,"11,804,300"
"Jun 28, 2023",56.22,56.97,55.81,56.3,56.3,"7,064,400"
"Jun 27, 2023",53.97,56.44,53.87,56.03,56.03,"10,655,000"
"Jun 26, 2023",52.7,53.75,52.5,53.32,53.32,"4,962,700"
"Jun 23, 2023",51.96,52.74,51.82,52.65,52.65,"4,070,200"
"Jun 22, 2023",52.62,53.27,52.48,53.05,53.05,"3,264,700"
"Jun 21, 2023",52.43,53.14,52.11,52.85,52.85,"4,254,900"
"Jun 20, 2023",52.8,53.06,52.16,52.7,52.7,"5,197,000"
"Jun 16, 2023",53.5,54.06,52.99,53.5,53.5,"6,808,100"
"Jun 15, 2023",52.84,53.68,52.78,53.58,53.58,"5,906,300"
"Jun 14, 2023",53.26,53.83,52.72,53.35,53.35,"6,522,200"
"Jun 13, 2023",51.87,53.37,51.67,53.19,53.19,"8,633,900"
"Jun 12, 2023",50.91,52.01,50.7,51.31,51.31,"6,489,800"
"Jun 09, 2023",49.99,50.9,49.85,50.42,50.42,"5,749,600"
"Jun 08, 2023",49.27,50.44,49.26,49.87,49.87,"5,542,800"
