Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",505.21,507.48,497.28,502.91,502.91,"2,930,000"
"Jul 27, 2023",508.57,510.50,503.13,505.23,505.23,"3,028,300"
"Jul 26, 2023",511.54,515.86,506.63,508.00,508.00,"3,697,200"
"Jul 25, 2023",510.00,512.50,507.28,510.93,510.93,"2,730,600"
"Jul 24, 2023",505.33,509.78,504.57,508.68,508.68,"2,279,000"
"Jul 21, 2023",505.05,510.41,504.52,506.53,506.53,"2,886,800"
"Jul 20, 2023",506.66,508.68,500.53,504.24,504.24,"2,963,100"
"Jul 19, 2023",507.54,514.66,502.48,503.70,503.70,"4,956,500"
"Jul 18, 2023",489.33,504.42,487.50,500.00,500.00,"8,817,900"
"Jul 17, 2023",481.11,484.60,478.30,484.08,484.08,"4,582,000"
"Jul 14, 2023",462.55,485.00,460.11,480.17,480.17,"11,376,300"
"Jul 13, 2023",452.00,454.90,447.18,447.75,447.75,"7,276,800"
"Jul 12, 2023",463.00,464.82,451.25,451.70,451.70,"7,287,600"
"Jul 11, 2023",462.37,466.49,461.14,462.89,462.89,"3,087,500"
"Jul 10, 2023",460.00,463.10,459.16,463.05,463.05,"4,339,200"
"Jul 07, 2023",465.00,468.61,460.82,461.58,461.58,"4,128,100"
"Jul 06, 2023",469.35,472.40,466.65,469.36,469.36,"3,913,600"
"Jul 05, 2023",476.03,477.29,470.59,471.22,471.22,"5,053,100"
"Jul 03, 2023",478.10,480.21,476.30,477.88,477.88,"1,915,700"
"Jun 30, 2023",478.0,482.1,475.12,480.64,480.64,"3,970,100"
"Jun 29, 2023",475.08,479.71,473.08,476.44,476.44,"2,979,300"
"Jun 28, 2023",481.96,482.12,473.98,474.45,474.45,"3,670,100"
"Jun 27, 2023",478.13,483.18,477.77,482.56,482.56,"3,693,200"
"Jun 26, 2023",478.14,481.31,473.0,479.06,479.06,"2,968,300"
"Jun 23, 2023",478.33,482.28,476.55,477.0,477.0,"4,862,000"
"Jun 22, 2023",478.18,483.18,478.0,479.05,479.05,"3,179,000"
"Jun 21, 2023",468.95,479.37,467.19,476.75,476.75,"4,886,500"
"Jun 20, 2023",456.75,470.49,456.75,469.39,469.39,"4,597,700"
"Jun 16, 2023",466.14,468.52,457.93,458.49,458.49,"7,693,900"
"Jun 15, 2023",461.99,472.0,460.91,465.89,465.89,"6,798,100"
"Jun 14, 2023",454.64,460.63,445.68,459.86,457.98,"14,672,400"
"Jun 13, 2023",490.87,494.66,488.66,491.31,489.3,"3,016,600"
"Jun 12, 2023",492.3,494.45,488.72,492.59,490.58,"2,207,700"
"Jun 09, 2023",489.99,498.22,487.23,493.62,491.6,"3,174,100"
"Jun 08, 2023",484.39,491.82,482.43,490.23,488.23,"2,725,900"
"Jun 07, 2023",489.95,490.44,481.6,482.13,480.16,"4,381,700"
"Jun 06, 2023",499.9,499.9,483.67,487.57,485.58,"3,816,600"
"Jun 05, 2023",500.7,502.9,497.42,498.19,496.15,"2,688,800"
"Jun 02, 2023",492.0,501.02,490.36,499.58,497.54,"3,064,500"
"Jun 01, 2023",487.79,498.78,486.11,493.63,491.61,"3,376,600"
"May 31, 2023",478.12,487.4,477.11,487.24,485.25,"4,944,100"
"May 30, 2023",476.68,485.87,476.03,479.85,477.89,"3,180,800"
"May 26, 2023",478.06,488.39,478.0,481.52,479.55,"3,135,200"
"May 25, 2023",477.63,481.77,474.3,477.7,475.75,"2,684,100"
"May 24, 2023",480.61,483.28,478.89,480.83,478.86,"1,904,700"
"May 23, 2023",476.18,483.39,472.54,479.44,477.48,"2,874,200"
"May 22, 2023",480.44,482.2,477.91,480.62,478.66,"2,242,800"
"May 19, 2023",479.58,484.8,477.81,478.82,476.86,"2,317,900"
"May 18, 2023",482.05,482.55,473.89,479.23,477.27,"3,040,100"
"May 17, 2023",480.0,485.4,477.54,484.81,482.83,"2,682,000"
"May 16, 2023",487.62,489.21,479.01,479.72,477.76,"2,178,900"
"May 15, 2023",491.4,491.79,483.7,486.86,484.87,"2,169,700"
"May 12, 2023",488.76,492.9,487.75,491.23,489.22,"1,536,500"
"May 11, 2023",488.0,490.12,485.66,488.76,486.76,"2,384,200"
"May 10, 2023",489.4,493.47,487.64,490.07,488.07,"2,018,700"
"May 09, 2023",492.84,499.4,490.3,490.38,488.38,"2,038,600"
"May 08, 2023",492.04,494.35,488.32,492.62,490.61,"1,738,500"
"May 05, 2023",494.06,500.85,492.03,494.28,492.26,"2,328,500"
"May 04, 2023",487.05,489.69,481.95,487.28,485.29,"2,555,700"
"May 03, 2023",494.4,495.45,488.03,489.44,487.44,"1,749,700"
