Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",188.39,189.65,187.69,187.89,187.89,"2,299,000"
"Jul 27, 2023",185.12,187.23,184.05,186.52,186.52,"3,251,400"
"Jul 26, 2023",183.25,185.13,181.72,184.39,184.39,"4,189,100"
"Jul 25, 2023",187.81,192.98,182.14,184.69,184.69,"10,006,600"
"Jul 24, 2023",185.86,189.35,185.72,188.34,188.34,"2,460,200"
"Jul 21, 2023",186.91,189.48,186.74,187.30,187.30,"5,071,200"
"Jul 20, 2023",186.63,188.21,185.60,186.94,186.94,"2,703,600"
"Jul 19, 2023",184.60,186.47,184.60,186.02,186.02,"3,018,900"
"Jul 18, 2023",182.82,184.90,182.82,184.57,184.57,"2,387,500"
"Jul 17, 2023",184.48,184.50,182.42,182.74,182.74,"2,556,000"
"Jul 14, 2023",184.78,185.67,183.90,185.26,185.26,"2,213,500"
"Jul 13, 2023",186.64,187.82,185.33,185.36,185.36,"2,857,200"
"Jul 12, 2023",187.07,187.67,185.47,186.49,186.49,"2,586,000"
"Jul 11, 2023",181.93,185.50,181.36,185.24,185.24,"2,896,600"
"Jul 10, 2023",179.68,182.43,179.68,181.33,181.33,"2,372,700"
"Jul 07, 2023",178.11,181.72,178.04,179.76,179.76,"3,145,300"
"Jul 06, 2023",178.66,179.40,177.59,179.28,179.28,"3,011,100"
"Jul 05, 2023",179.37,181.70,178.79,179.97,179.97,"4,820,200"
"Jul 03, 2023",178.26,184.16,178.18,183.77,183.77,"3,330,000"
"Jun 30, 2023",176.59,179.65,175.56,179.25,179.25,"4,891,700"
"Jun 29, 2023",175.42,176.19,174.79,176.05,176.05,"2,301,600"
"Jun 28, 2023",174.12,176.08,173.66,175.66,175.66,"2,746,400"
"Jun 27, 2023",173.39,175.49,172.47,174.67,174.67,"2,711,600"
"Jun 26, 2023",169.22,173.04,169.22,172.75,172.75,"3,763,100"
"Jun 23, 2023",169.6,171.16,168.71,169.29,169.29,"11,277,900"
"Jun 22, 2023",172.16,173.5,170.96,171.38,171.38,"4,192,700"
"Jun 21, 2023",174.13,176.59,172.87,173.63,173.63,"4,935,300"
"Jun 20, 2023",176.46,178.68,176.46,177.27,177.27,"3,088,200"
"Jun 16, 2023",179.99,180.27,176.1,178.58,178.58,"8,468,900"
"Jun 15, 2023",175.46,179.3,175.42,179.0,179.0,"4,162,900"
"Jun 14, 2023",173.66,176.7,173.09,174.88,174.88,"4,476,000"
"Jun 13, 2023",171.31,173.38,171.11,172.89,172.89,"3,528,000"
"Jun 12, 2023",170.84,171.82,170.03,171.5,171.5,"2,795,100"
"Jun 09, 2023",171.0,171.38,169.56,170.49,170.49,"2,838,500"
"Jun 08, 2023",171.48,171.62,169.63,171.48,171.48,"3,676,000"
"Jun 07, 2023",167.35,171.67,166.9,171.5,171.5,"3,435,600"
"Jun 06, 2023",166.51,168.66,166.18,167.59,167.59,"2,521,900"
"Jun 05, 2023",169.95,169.95,167.62,167.85,167.85,"2,314,100"
"Jun 02, 2023",168.76,170.94,167.93,170.14,170.14,"2,750,400"
"Jun 01, 2023",167.51,168.92,166.21,167.83,167.83,"2,524,800"
"May 31, 2023",169.06,169.22,166.3,167.0,167.0,"5,106,100"
"May 30, 2023",171.69,171.84,168.92,169.76,169.76,"2,542,200"
"May 26, 2023",171.73,172.91,171.18,171.57,171.57,"2,291,800"
"May 25, 2023",168.58,172.08,168.17,171.23,171.23,"2,976,900"
"May 24, 2023",168.85,169.66,167.45,167.72,167.72,"2,410,500"
"May 23, 2023",170.59,172.26,169.25,169.79,169.79,"2,660,500"
"May 22, 2023",171.61,171.85,169.32,171.51,171.51,"2,675,400"
"May 19, 2023",171.13,171.46,169.37,170.93,170.93,"2,350,100"
"May 18, 2023",171.64,173.42,169.76,171.04,171.04,"2,747,200"
"May 17, 2023",167.69,171.77,166.71,171.36,171.36,"3,882,200"
"May 16, 2023",167.49,167.83,166.15,166.61,166.61,"3,458,900"
"May 15, 2023",167.56,168.92,166.26,168.85,168.85,"3,048,400"
"May 12, 2023",169.11,169.86,166.88,168.5,168.5,"3,346,600"
"May 11, 2023",171.53,171.75,169.18,170.23,168.61,"3,136,500"
"May 10, 2023",173.73,173.98,169.85,171.57,169.94,"3,233,300"
"May 09, 2023",172.87,173.8,172.15,173.01,171.36,"2,180,600"
"May 08, 2023",175.91,176.36,173.6,174.39,172.73,"2,589,100"
"May 05, 2023",175.18,176.29,173.8,175.74,174.07,"2,775,300"
"May 04, 2023",174.55,174.94,172.86,173.29,171.64,"3,495,100"
"May 03, 2023",177.5,178.0,175.5,175.83,174.16,"3,825,200"
"May 02, 2023",180.7,180.77,177.68,177.84,176.15,"3,527,800"
"May 01, 2023",179.95,182.69,179.67,182.2,180.47,"2,807,800"
"Apr 28, 2023",176.84,180.48,176.51,179.81,178.1,"3,439,900"
"Apr 27, 2023",172.76,178.16,172.19,177.76,176.07,"4,679,000"
"Apr 26, 2023",175.23,177.06,172.13,172.57,170.93,"5,845,600"
"Apr 25, 2023",182.67,183.0,176.22,176.29,174.61,"12,474,900"
"Apr 24, 2023",195.36,197.31,194.73,195.85,193.99,"3,689,100"
"Apr 21, 2023",194.87,196.5,193.61,195.21,193.35,"3,371,700"
"Apr 20, 2023",195.87,197.8,194.12,194.98,193.12,"3,336,300"
"Apr 19, 2023",194.28,196.22,194.11,196.03,194.16,"2,652,200"
"Apr 18, 2023",193.58,194.67,192.88,194.12,192.27,"2,461,400"
"Apr 17, 2023",193.22,194.38,192.58,193.29,191.45,"1,920,500"
"Apr 14, 2023",191.0,193.02,190.25,192.87,191.03,"2,034,900"
"Apr 13, 2023",190.92,191.6,188.54,191.0,189.18,"2,355,600"
"Apr 12, 2023",192.5,194.04,189.02,189.85,188.04,"3,729,000"
"Apr 11, 2023",190.5,193.1,189.59,192.45,190.62,"2,844,400"
"Apr 10, 2023",187.42,190.55,186.78,190.26,188.45,"2,157,900"
"Apr 06, 2023",188.33,189.56,186.53,188.58,186.79,"2,206,100"
"Apr 05, 2023",189.84,191.89,189.35,189.4,187.6,"2,718,300"
"Apr 04, 2023",194.67,194.88,189.93,190.61,188.8,"2,498,700"
"Apr 03, 2023",192.83,193.75,191.32,193.72,191.88,"2,735,200"
"Mar 31, 2023",191.93,194.12,190.93,193.99,192.14,"2,571,200"
"Mar 30, 2023",191.89,192.2,189.19,191.09,189.27,"2,075,300"
"Mar 29, 2023",189.52,191.5,188.86,191.47,189.65,"2,546,100"
"Mar 28, 2023",187.42,189.16,186.35,187.73,185.94,"1,850,100"
"Mar 27, 2023",187.39,187.96,185.53,187.32,185.54,"2,283,400"
"Mar 24, 2023",185.09,186.41,183.72,186.07,184.3,"2,586,700"
"Mar 23, 2023",184.78,188.59,183.45,185.29,183.53,"2,901,700"
