Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",61.41,65.61,60.25,65.18,65.18,"11,759,900"
"Jul 27, 2023",66.25,67.22,57.43,58.94,58.94,"15,001,600"
"Jul 26, 2023",62.38,65.64,61.62,64.16,64.16,"11,940,300"
"Jul 25, 2023",55.16,65.98,54.71,62.99,62.99,"24,504,000"
"Jul 24, 2023",54.15,55.75,52.14,53.64,53.64,"6,420,100"
"Jul 21, 2023",56.75,57.75,52.35,54.17,54.17,"8,786,300"
"Jul 20, 2023",56.30,58.40,53.40,55.39,55.39,"12,863,500"
"Jul 19, 2023",55.26,61.50,54.89,58.40,58.40,"23,116,100"
"Jul 18, 2023",52.15,55.94,51.87,53.95,53.95,"12,425,300"
"Jul 17, 2023",46.27,53.87,45.58,52.91,52.91,"13,609,600"
"Jul 14, 2023",47.45,48.90,45.24,46.53,46.53,"8,747,800"
"Jul 13, 2023",44.06,47.90,43.53,47.40,47.40,"8,546,100"
"Jul 12, 2023",44.63,44.91,42.05,44.08,44.08,"8,648,900"
"Jul 11, 2023",41.43,44.59,40.23,43.11,43.11,"13,187,500"
"Jul 10, 2023",37.17,41.27,35.70,41.24,41.24,"9,941,600"
"Jul 07, 2023",36.32,38.67,36.20,36.70,36.70,"6,224,300"
"Jul 06, 2023",37.27,37.57,34.38,36.64,36.64,"8,744,600"
"Jul 05, 2023",37.87,39.65,37.11,38.86,38.86,"7,480,700"
"Jul 03, 2023",35.66,38.49,35.64,38.19,38.19,"6,119,800"
"Jun 30, 2023",36.78,37.69,34.86,35.81,35.81,"8,108,600"
"Jun 29, 2023",35.27,37.08,34.35,35.51,35.51,"8,593,800"
"Jun 28, 2023",32.9,35.91,32.78,34.84,34.84,"8,520,600"
"Jun 27, 2023",30.99,33.79,30.3,33.64,33.64,"8,173,500"
"Jun 26, 2023",30.08,31.33,29.52,30.2,30.2,"5,603,500"
"Jun 23, 2023",30.51,31.11,28.99,30.12,30.12,"15,888,800"
"Jun 22, 2023",31.0,33.09,30.4,31.99,31.99,"6,583,900"
"Jun 21, 2023",33.36,33.65,30.63,31.72,31.72,"9,462,700"
"Jun 20, 2023",36.75,37.67,33.09,33.39,33.39,"9,803,400"
"Jun 16, 2023",38.3,38.84,36.83,37.24,37.24,"8,120,400"
"Jun 15, 2023",36.0,38.24,35.16,37.7,37.7,"10,957,700"
"Jun 14, 2023",37.5,38.62,34.92,37.03,37.03,"15,542,800"
"Jun 13, 2023",34.74,37.04,33.86,36.97,36.97,"13,273,300"
"Jun 12, 2023",32.66,34.86,32.45,33.72,33.72,"10,127,500"
"Jun 09, 2023",32.38,33.86,31.2,32.09,32.09,"10,058,400"
"Jun 08, 2023",28.98,33.42,28.03,32.76,32.76,"16,162,000"
"Jun 07, 2023",31.78,32.5,28.39,28.54,28.54,"13,239,600"
"Jun 06, 2023",27.86,31.65,27.48,31.08,31.08,"11,069,200"
"Jun 05, 2023",29.57,30.68,28.02,28.23,28.23,"6,937,500"
"Jun 02, 2023",30.81,31.14,28.81,29.57,29.57,"9,928,600"
"Jun 01, 2023",26.62,32.02,25.88,29.75,29.75,"16,560,300"
"May 31, 2023",28.65,29.25,26.82,27.24,27.24,"8,496,100"
"May 30, 2023",25.61,29.41,25.1,29.09,29.09,"12,167,600"
"May 26, 2023",23.62,25.33,23.5,24.87,24.87,"8,174,000"
"May 25, 2023",27.83,27.9,23.59,23.73,23.73,"14,088,000"
"May 24, 2023",25.2,26.88,24.78,26.65,26.65,"12,570,500"
"May 23, 2023",27.39,29.99,25.91,25.98,25.98,"20,129,100"
"May 22, 2023",23.38,29.36,22.93,27.65,27.65,"24,507,700"
"May 19, 2023",24.62,24.89,22.68,23.05,23.05,"10,271,100"
"May 18, 2023",21.65,24.9,21.56,24.59,24.59,"17,978,900"
"May 17, 2023",19.4,22.23,19.4,21.39,21.39,"14,206,600"
"May 16, 2023",20.0,20.4,18.75,19.38,19.38,"9,840,500"
"May 15, 2023",16.23,20.64,16.13,20.26,20.26,"18,967,600"
"May 12, 2023",17.0,17.01,15.88,16.39,16.39,"4,982,100"
"May 11, 2023",19.15,19.5,16.69,16.77,16.77,"10,169,200"
"May 10, 2023",19.64,19.78,17.48,18.97,18.97,"29,984,000"
"May 09, 2023",13.17,14.13,13.0,14.09,14.09,"15,239,200"
"May 08, 2023",13.25,13.72,12.94,13.38,13.38,"3,981,000"
"May 05, 2023",12.62,13.39,12.62,13.24,13.24,"5,265,200"
"May 04, 2023",12.19,12.7,12.01,12.46,12.46,"3,566,500"
"May 03, 2023",12.12,12.87,11.93,12.21,12.21,"5,170,600"
"May 02, 2023",12.88,13.02,12.01,12.1,12.1,"6,946,800"
"May 01, 2023",13.84,14.05,12.92,12.98,12.98,"6,968,800"
"Apr 28, 2023",14.47,14.7,13.77,13.9,13.9,"4,463,300"
"Apr 27, 2023",14.37,14.91,14.14,14.47,14.47,"2,709,200"
"Apr 26, 2023",14.63,15.04,14.13,14.31,14.31,"2,009,900"
"Apr 25, 2023",14.7,14.98,14.48,14.51,14.51,"2,130,400"
"Apr 24, 2023",15.0,15.2,14.52,14.82,14.82,"2,000,100"
"Apr 21, 2023",15.17,15.39,14.97,15.02,15.02,"2,287,100"
"Apr 20, 2023",15.45,15.61,15.15,15.29,15.29,"2,288,400"
"Apr 19, 2023",15.4,15.93,15.31,15.77,15.77,"1,802,000"
"Apr 18, 2023",15.5,15.76,15.18,15.64,15.64,"1,878,600"
"Apr 17, 2023",15.45,15.61,14.96,15.47,15.47,"2,466,400"
"Apr 14, 2023",15.84,16.35,14.91,15.4,15.4,"3,941,500"
"Apr 13, 2023",16.66,17.13,15.71,15.77,15.77,"3,513,100"
"Apr 12, 2023",18.29,18.29,16.33,16.39,16.39,"5,609,800"
"Apr 11, 2023",16.99,17.75,16.9,17.74,17.74,"4,186,200"
"Apr 10, 2023",16.69,17.25,16.43,17.18,17.18,"2,990,600"
"Apr 06, 2023",16.62,17.37,16.12,16.98,16.98,"4,623,500"
"Apr 05, 2023",15.66,16.92,15.6,16.8,16.8,"6,232,900"
"Apr 04, 2023",16.25,16.46,15.57,16.07,16.07,"3,504,300"
"Apr 03, 2023",15.7,16.43,15.56,16.34,16.34,"5,469,200"
"Mar 31, 2023",14.38,15.94,14.2,15.89,15.89,"10,383,200"
"Mar 30, 2023",13.93,14.49,13.63,14.19,14.19,"4,055,700"
"Mar 29, 2023",13.29,13.8,13.21,13.74,13.74,"3,950,300"
"Mar 28, 2023",13.05,13.3,12.72,12.99,12.99,"4,049,200"
"Mar 27, 2023",13.32,13.33,12.84,13.13,13.13,"3,751,300"
"Mar 24, 2023",13.4,13.58,12.85,12.94,12.94,"6,995,300"
"Mar 23, 2023",14.36,14.78,13.1,13.58,13.58,"7,572,500"
"Mar 22, 2023",15.32,15.69,14.1,14.11,14.11,"5,516,900"
"Mar 21, 2023",14.6,15.53,14.32,15.21,15.21,"4,845,400"
"Mar 20, 2023",15.16,15.21,13.92,14.17,14.17,"5,252,100"
"Mar 17, 2023",15.74,16.04,14.93,15.23,15.23,"3,569,400"
"Mar 16, 2023",14.86,15.81,14.52,15.8,15.8,"5,882,700"
"Mar 15, 2023",14.16,15.36,14.02,15.17,15.17,"7,599,200"
"Mar 14, 2023",16.08,16.33,14.33,14.63,14.63,"6,253,600"
"Mar 13, 2023",15.18,15.76,14.32,15.27,15.27,"5,206,900"
"Mar 10, 2023",15.95,16.01,15.01,15.51,15.51,"5,664,600"
"Mar 09, 2023",17.34,17.56,16.2,16.22,16.22,"5,317,300"
