Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",39.19,39.55,38.75,39.54,39.54,"11,512,000"
"Jul 27, 2023",39.09,39.42,38.74,38.82,38.82,"16,144,800"
"Jul 26, 2023",38.44,39.06,38.29,38.89,38.89,"13,001,200"
"Jul 25, 2023",39.19,39.32,37.78,37.86,37.86,"14,708,700"
"Jul 24, 2023",38.56,39.43,38.46,39.26,39.26,"12,796,800"
"Jul 21, 2023",39.20,39.23,38.37,38.42,38.42,"16,353,000"
"Jul 20, 2023",38.56,39.16,38.28,39.14,39.14,"19,108,600"
"Jul 19, 2023",36.38,39.27,35.63,38.91,38.91,"32,807,000"
"Jul 18, 2023",35.39,36.56,35.33,36.55,36.55,"15,115,900"
"Jul 17, 2023",35.24,35.45,35.01,35.26,35.26,"13,412,200"
"Jul 14, 2023",36.09,36.21,35.24,35.33,35.33,"13,061,700"
"Jul 13, 2023",35.33,35.90,35.26,35.81,35.81,"10,710,800"
"Jul 12, 2023",35.65,36.22,35.08,35.11,35.11,"11,534,400"
"Jul 11, 2023",34.51,35.18,34.07,34.92,34.92,"15,975,800"
"Jul 10, 2023",33.22,33.83,33.15,33.74,33.74,"11,720,200"
"Jul 07, 2023",32.86,33.80,32.84,33.54,33.54,"9,050,900"
"Jul 06, 2023",33.00,33.06,32.05,32.99,32.99,"12,008,400"
"Jul 05, 2023",33.33,33.74,33.02,33.53,33.53,"10,355,100"
"Jul 03, 2023",33.16,33.78,33.14,33.58,33.58,"6,483,800"
"Jun 30, 2023",33.21,33.5,32.85,33.04,33.04,"15,127,500"
"Jun 29, 2023",32.18,32.76,32.03,32.76,32.76,"12,479,700"
"Jun 28, 2023",32.57,32.57,31.95,32.32,31.84,"11,215,400"
"Jun 27, 2023",32.29,32.69,31.84,32.55,32.07,"9,776,300"
"Jun 26, 2023",31.87,32.52,31.87,32.32,31.84,"11,249,000"
"Jun 23, 2023",31.99,32.51,31.83,31.88,31.41,"20,700,200"
"Jun 22, 2023",33.45,33.48,32.14,32.23,31.75,"13,292,400"
"Jun 21, 2023",33.66,33.82,33.21,33.43,32.93,"13,570,700"
"Jun 20, 2023",33.04,33.69,32.67,33.58,33.08,"19,540,400"
"Jun 16, 2023",33.49,33.61,33.0,33.45,32.95,"30,115,200"
"Jun 15, 2023",32.2,33.42,31.95,33.29,32.8,"16,315,500"
"Jun 14, 2023",33.0,33.44,31.89,32.1,31.62,"17,832,200"
"Jun 13, 2023",32.08,33.31,31.75,32.7,32.21,"20,543,600"
"Jun 12, 2023",32.71,33.35,31.52,32.16,31.68,"15,560,400"
"Jun 09, 2023",33.0,33.36,32.69,32.86,32.37,"10,586,200"
"Jun 08, 2023",33.1,33.27,32.5,33.06,32.57,"12,063,700"
"Jun 07, 2023",32.74,33.4,32.42,33.26,32.77,"13,860,500"
"Jun 06, 2023",31.23,32.8,31.13,32.63,32.15,"13,876,500"
"Jun 05, 2023",31.87,31.87,31.02,31.22,30.76,"10,644,900"
"Jun 02, 2023",31.0,31.99,30.75,31.74,31.27,"13,742,900"
"Jun 01, 2023",30.1,30.6,29.33,30.52,30.07,"12,319,400"
"May 31, 2023",30.15,30.34,29.4,29.9,29.46,"31,032,900"
"May 30, 2023",30.87,31.09,30.0,30.66,30.2,"12,907,300"
"May 26, 2023",30.58,30.79,30.29,30.67,30.21,"9,267,000"
"May 25, 2023",30.56,30.83,30.16,30.51,30.06,"11,948,300"
"May 24, 2023",30.83,31.25,30.4,30.81,30.35,"11,120,700"
"May 23, 2023",31.0,32.1,31.0,31.14,30.68,"13,952,200"
"May 22, 2023",30.54,31.08,30.07,30.91,30.45,"11,974,600"
"May 19, 2023",30.66,30.89,29.75,30.11,29.66,"14,999,500"
"May 18, 2023",30.24,30.56,29.89,30.49,30.04,"13,204,600"
"May 17, 2023",29.0,30.5,28.93,30.45,30.0,"22,429,700"
"May 16, 2023",29.5,29.75,28.67,28.68,28.25,"14,997,200"
"May 15, 2023",29.16,29.79,29.07,29.65,29.21,"12,671,600"
"May 12, 2023",29.24,29.34,28.74,29.13,28.7,"16,869,300"
"May 11, 2023",29.0,29.29,28.53,28.92,28.49,"16,413,400"
"May 10, 2023",30.6,30.65,28.9,29.45,29.01,"14,492,700"
"May 09, 2023",29.4,30.25,29.01,29.91,29.47,"18,209,200"
"May 08, 2023",31.51,31.6,29.68,29.74,29.3,"22,304,300"
"May 05, 2023",30.68,31.31,29.63,30.74,30.28,"28,222,000"
"May 04, 2023",28.5,29.7,27.27,28.98,28.55,"48,099,600"
"May 03, 2023",30.79,31.12,29.66,29.8,29.36,"23,759,800"
"May 02, 2023",32.94,32.94,30.41,30.63,30.18,"28,994,600"
"May 01, 2023",34.25,34.33,32.93,32.94,32.45,"19,095,200"
"Apr 28, 2023",32.2,34.52,31.95,34.28,33.77,"25,215,200"
"Apr 27, 2023",31.6,32.75,31.48,32.57,32.09,"19,428,200"
"Apr 26, 2023",31.68,32.06,31.26,31.52,31.05,"17,133,300"
"Apr 25, 2023",32.4,32.94,31.3,31.77,31.3,"22,540,100"
"Apr 24, 2023",33.27,33.41,32.55,32.79,32.3,"16,238,100"
"Apr 21, 2023",34.29,34.34,32.61,33.52,33.02,"28,303,000"
"Apr 20, 2023",35.45,35.45,34.13,34.76,34.24,"21,609,500"
"Apr 19, 2023",35.51,36.12,34.7,36.01,35.48,"20,970,200"
"Apr 18, 2023",35.6,35.61,34.63,35.19,34.67,"19,052,200"
"Apr 17, 2023",34.8,35.61,33.94,35.59,35.06,"22,419,300"
"Apr 14, 2023",36.2,36.3,34.87,34.97,34.45,"16,186,300"
"Apr 13, 2023",35.33,35.39,34.73,35.38,34.85,"12,799,100"
"Apr 12, 2023",35.78,36.03,34.97,35.4,34.87,"11,586,300"
"Apr 11, 2023",35.64,35.84,35.45,35.53,35.0,"11,927,800"
"Apr 10, 2023",35.8,36.24,35.48,35.61,35.08,"10,547,700"
"Apr 06, 2023",35.25,36.25,35.2,35.75,35.22,"12,008,400"
"Apr 05, 2023",34.83,35.26,34.48,35.11,34.59,"12,734,700"
"Apr 04, 2023",36.19,36.33,34.52,35.06,34.54,"12,238,700"
"Apr 03, 2023",36.2,36.44,35.55,35.64,35.11,"12,209,800"
"Mar 31, 2023",35.81,36.06,35.1,36.05,35.51,"15,541,700"
"Mar 30, 2023",36.18,36.52,35.16,35.45,34.92,"13,539,900"
"Mar 29, 2023",36.06,36.32,35.74,36.22,35.21,"14,776,400"
"Mar 28, 2023",34.77,35.62,34.48,35.56,34.57,"15,681,700"
"Mar 27, 2023",36.67,37.1,34.8,34.87,33.9,"19,966,700"
"Mar 24, 2023",34.34,34.94,34.01,34.9,33.93,"18,619,300"
"Mar 23, 2023",35.03,36.09,34.72,35.06,34.08,"26,061,900"
"Mar 22, 2023",37.5,37.53,34.77,34.79,33.82,"28,376,900"
"Mar 21, 2023",36.0,37.85,35.8,37.52,36.47,"34,821,400"
"Mar 20, 2023",34.53,35.38,33.81,34.45,33.49,"43,046,500"
"Mar 17, 2023",35.5,35.61,32.87,32.95,32.03,"56,442,900"
"Mar 16, 2023",35.2,36.54,32.72,36.36,35.35,"51,459,200"
"Mar 15, 2023",36.3,36.98,35.16,35.44,34.45,"33,125,800"
"Mar 14, 2023",39.12,39.68,36.9,37.51,36.46,"28,999,400"
"Mar 13, 2023",38.05,38.4,36.13,36.54,35.52,"36,746,000"
"Mar 10, 2023",40.88,42.06,39.62,40.62,39.49,"23,573,700"
"Mar 09, 2023",45.11,45.2,42.17,42.3,41.12,"10,961,800"
"Mar 08, 2023",45.55,46.02,45.24,45.49,44.22,"4,651,200"
"Mar 07, 2023",46.79,46.81,45.47,45.6,44.33,"6,072,200"
"Mar 06, 2023",47.18,47.56,47.0,47.12,45.81,"5,604,200"
"Mar 03, 2023",46.52,47.16,46.38,47.11,45.8,"4,566,900"
"Mar 02, 2023",47.18,47.18,45.9,46.31,45.02,"6,437,000"
"Mar 01, 2023",47.19,47.45,46.9,47.31,45.99,"7,123,400"
"Feb 28, 2023",47.7,48.05,47.58,47.73,46.4,"6,209,100"
"Feb 27, 2023",47.93,48.24,47.48,47.58,46.25,"4,260,200"
"Feb 24, 2023",47.21,47.71,47.03,47.64,46.31,"4,141,500"
"Feb 23, 2023",47.87,48.11,47.31,47.72,46.39,"4,319,300"
"Feb 22, 2023",47.7,47.87,47.34,47.54,46.21,"4,583,300"
"Feb 21, 2023",48.2,48.26,47.33,47.69,46.36,"5,793,100"
"Feb 17, 2023",48.42,48.67,48.2,48.6,47.24,"5,191,900"
"Feb 16, 2023",48.79,48.94,48.4,48.55,47.2,"4,900,000"
"Feb 15, 2023",48.85,49.11,48.66,49.08,47.71,"4,227,900"
"Feb 14, 2023",49.1,49.29,48.77,49.13,47.76,"4,889,500"
"Feb 13, 2023",48.67,49.1,48.62,49.09,47.72,"4,906,200"
"Feb 10, 2023",48.6,48.89,48.34,48.7,47.34,"5,357,300"
"Feb 09, 2023",49.39,49.5,48.56,48.77,47.41,"5,870,500"
"Feb 08, 2023",49.13,49.67,48.95,49.07,47.7,"5,810,000"
"Feb 07, 2023",48.66,49.8,48.64,49.67,48.28,"5,809,100"
"Feb 06, 2023",48.94,49.13,48.66,48.95,47.58,"4,997,600"
"Feb 03, 2023",48.82,49.62,48.71,49.3,47.92,"6,579,400"
"Feb 02, 2023",49.47,49.65,48.94,49.15,47.78,"6,819,800"
"Feb 01, 2023",49.24,49.93,49.0,49.22,47.85,"7,611,100"
"Jan 31, 2023",48.84,49.81,48.59,49.8,48.41,"7,714,000"
"Jan 30, 2023",48.57,49.34,48.54,48.8,47.44,"5,943,200"
"Jan 27, 2023",48.62,48.89,48.18,48.86,47.5,"6,568,200"
"Jan 26, 2023",49.68,49.95,48.33,48.7,47.34,"8,316,100"
"Jan 25, 2023",46.91,49.68,46.88,49.15,47.78,"12,238,500"
"Jan 24, 2023",47.75,47.8,46.46,46.67,45.37,"12,459,200"
"Jan 23, 2023",46.68,47.69,46.54,47.67,46.34,"8,136,000"
"Jan 20, 2023",45.75,46.47,45.35,46.46,45.16,"8,030,400"
"Jan 19, 2023",45.4,45.94,44.92,45.63,44.36,"9,136,600"
"Jan 18, 2023",47.03,47.29,45.76,45.81,44.53,"8,376,700"
"Jan 17, 2023",47.58,47.74,46.81,47.44,46.12,"10,150,000"
"Jan 13, 2023",46.87,47.4,46.43,47.33,46.01,"8,150,600"
"Jan 12, 2023",47.45,48.03,47.3,47.59,46.26,"8,934,000"
"Jan 11, 2023",46.91,47.33,46.72,47.11,45.8,"8,704,900"
"Jan 10, 2023",46.75,46.9,45.96,46.66,45.36,"13,631,800"
"Jan 09, 2023",46.41,46.8,46.12,46.61,45.31,"13,170,700"
"Jan 06, 2023",46.0,46.49,45.42,46.31,45.02,"8,198,300"
"Jan 05, 2023",45.86,46.0,45.06,45.67,44.4,"8,364,000"
"Jan 04, 2023",45.11,46.4,45.11,46.03,44.75,"16,338,400"
"Jan 03, 2023",44.2,45.03,44.08,44.64,43.39,"12,795,900"
"Dec 30, 2022",43.4,43.8,43.28,43.61,42.39,"5,737,900"
"Dec 29, 2022",42.97,43.63,42.83,43.57,42.35,"5,956,300"
"Dec 28, 2022",43.72,43.82,43.08,43.35,41.67,"6,379,600"
"Dec 27, 2022",43.35,43.75,43.12,43.65,41.96,"7,504,200"
"Dec 23, 2022",42.83,43.29,42.73,43.2,41.53,"6,931,000"
"Dec 22, 2022",42.48,42.85,42.25,42.85,41.19,"12,427,700"
"Dec 21, 2022",42.2,43.0,42.16,42.71,41.06,"9,456,300"
"Dec 20, 2022",42.11,42.28,41.81,41.93,40.31,"14,209,000"
"Dec 19, 2022",42.1,42.66,41.6,41.95,40.33,"11,789,100"
"Dec 16, 2022",42.5,42.8,41.83,42.15,40.52,"19,310,900"
"Dec 15, 2022",42.65,43.04,42.41,42.84,41.18,"10,229,200"
"Dec 14, 2022",44.08,44.26,42.98,43.29,41.62,"11,240,400"
"Dec 13, 2022",44.52,44.94,43.91,44.25,42.54,"15,543,000"
"Dec 12, 2022",43.2,43.61,42.61,43.46,41.78,"10,695,700"
"Dec 09, 2022",43.36,43.8,43.03,43.11,41.44,"9,097,600"
"Dec 08, 2022",43.62,43.67,43.03,43.56,41.88,"6,989,000"
"Dec 07, 2022",42.76,43.9,42.47,43.56,41.88,"10,132,800"
"Dec 06, 2022",43.96,44.06,42.23,42.94,41.28,"9,642,300"
"Dec 05, 2022",45.64,45.69,43.62,43.91,42.21,"13,725,400"
"Dec 02, 2022",45.16,45.73,45.08,45.64,43.88,"10,786,800"
"Dec 01, 2022",45.39,45.54,44.85,45.35,43.6,"8,492,700"
"Nov 30, 2022",44.44,45.52,43.72,45.39,43.63,"11,688,600"
"Nov 29, 2022",43.8,44.62,43.7,44.59,42.87,"7,854,200"
"Nov 28, 2022",43.99,44.29,43.64,43.74,42.05,"6,790,600"
"Nov 25, 2022",44.25,44.39,44.06,44.26,42.55,"2,564,600"
"Nov 23, 2022",43.93,44.16,43.82,44.11,42.4,"6,225,700"
"Nov 22, 2022",43.54,43.95,43.45,43.91,42.21,"6,999,000"
"Nov 21, 2022",43.37,43.84,43.26,43.39,41.71,"9,331,900"
"Nov 18, 2022",43.34,43.49,42.89,43.38,41.7,"6,159,700"
"Nov 17, 2022",42.44,42.83,42.33,42.77,41.12,"6,376,600"
"Nov 16, 2022",43.76,43.81,42.82,42.93,41.27,"9,896,200"
"Nov 15, 2022",44.49,44.53,43.32,43.77,42.08,"11,171,700"
"Nov 14, 2022",44.96,45.06,43.81,43.85,42.15,"8,209,800"
"Nov 11, 2022",44.44,45.05,44.44,44.92,43.18,"10,692,700"
"Nov 10, 2022",44.0,45.02,43.91,44.87,43.13,"14,064,600"
"Nov 09, 2022",43.79,43.88,43.16,43.24,41.57,"9,423,000"
"Nov 08, 2022",43.75,44.36,43.47,44.17,42.46,"12,794,700"
"Nov 07, 2022",43.2,43.6,42.76,43.53,41.85,"12,207,000"
"Nov 04, 2022",41.98,42.89,41.98,42.83,41.17,"13,759,400"
