Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",63.35,63.97,63.15,63.55,63.55,"3,132,800"
"Jun 29, 2023",62.75,63.64,62.25,62.96,62.96,"1,992,200"
"Jun 28, 2023",61.47,62.94,60.87,62.52,62.52,"2,461,500"
"Jun 27, 2023",62.33,62.63,61.10,61.30,61.30,"2,610,100"
"Jun 26, 2023",62.15,63.14,62.08,62.73,62.73,"2,084,500"
"Jun 23, 2023",61.04,62.49,60.97,62.42,62.42,"2,403,000"
"Jun 22, 2023",63.15,63.65,62.14,62.52,62.52,"3,875,200"
"Jun 21, 2023",63.83,65.09,63.70,65.04,65.04,"2,725,500"
"Jun 20, 2023",63.75,63.96,62.61,63.92,63.92,"2,313,600"
"Jun 16, 2023",63.48,64.53,63.28,64.35,64.35,"2,972,700"
"Jun 15, 2023",62.21,63.77,62.14,63.41,63.41,"3,445,600"
"Jun 14, 2023",63.00,63.20,61.26,61.83,61.83,"4,818,600"
"Jun 13, 2023",62.09,62.65,61.99,62.14,62.14,"3,473,500"
"Jun 12, 2023",61.00,61.23,60.02,60.24,60.24,"5,985,300"
"Jun 09, 2023",63.64,64.19,62.79,62.93,62.93,"3,354,100"
"Jun 08, 2023",64.89,64.94,61.82,63.46,63.46,"8,579,200"
"Jun 07, 2023",64.49,65.21,64.21,64.71,64.71,"3,520,500"
"Jun 06, 2023",63.08,64.43,63.01,63.79,63.79,"2,569,500"
"Jun 05, 2023",65.37,65.41,64.02,64.03,64.03,"3,038,400"
"Jun 02, 2023",64.10,64.36,63.46,64.15,64.15,"6,934,800"
"Jun 01, 2023",60.66,63.37,60.63,62.55,62.55,"3,631,400"
"May 31, 2023",61.48,62.09,60.61,60.63,60.63,"4,040,700"
"May 30, 2023",62.85,62.97,61.70,62.30,62.30,"6,442,600"
"May 26, 2023",64.90,64.99,64.36,64.80,64.80,"2,145,100"
"May 25, 2023",64.46,64.70,63.21,64.09,64.09,"4,322,700"
"May 24, 2023",65.96,66.24,64.94,65.66,65.66,"3,775,800"
"May 23, 2023",64.64,65.40,64.50,64.87,64.87,"3,409,700"
"May 22, 2023",63.59,64.33,63.36,63.91,63.91,"1,645,000"
"May 19, 2023",64.61,64.66,63.25,63.90,63.90,"2,489,800"
"May 18, 2023",64.32,64.40,63.58,64.04,64.04,"2,496,600"
"May 17, 2023",63.87,64.99,63.06,64.60,64.60,"4,276,000"
"May 16, 2023",63.11,63.54,62.45,62.54,62.54,"1,987,100"
"May 15, 2023",62.70,63.46,62.37,62.99,62.99,"4,837,800"
"May 12, 2023",63.21,63.50,61.94,62.07,62.07,"4,068,600"
"May 11, 2023",63.26,63.62,62.62,63.25,63.25,"4,023,300"
"May 10, 2023",64.80,64.80,63.59,64.39,64.39,"2,683,700"
"May 09, 2023",63.84,65.15,63.10,64.87,64.87,"5,831,500"
"May 08, 2023",64.75,64.89,64.05,64.26,64.26,"3,454,600"
"May 05, 2023",62.73,63.34,62.61,63.03,63.03,"4,699,400"
"May 04, 2023",60.50,61.66,59.78,60.70,60.70,"4,997,400"
"May 03, 2023",61.31,61.39,60.16,60.31,60.31,"12,166,700"
"May 02, 2023",65.48,65.50,62.99,63.05,63.05,"6,535,700"
"May 01, 2023",66.34,66.93,65.62,66.55,66.55,"2,939,000"
"Apr 28, 2023",65.85,67.60,65.53,67.50,67.50,"3,043,600"
"Apr 27, 2023",65.83,66.21,65.16,65.81,65.81,"2,752,700"
"Apr 26, 2023",67.18,67.83,65.20,65.36,65.36,"5,692,100"
"Apr 25, 2023",68.54,68.57,67.26,67.62,67.62,"2,262,600"
"Apr 24, 2023",68.29,69.60,68.11,69.25,69.25,"1,924,400"
"Apr 21, 2023",68.58,68.72,67.91,68.21,68.21,"2,620,200"
"Apr 20, 2023",67.86,68.34,67.51,67.60,67.60,"3,486,800"
"Apr 19, 2023",69.72,69.98,68.86,69.30,69.30,"3,621,100"
