Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",16.25,16.83,15.89,16.15,16.15,"14,427,300"
"Jul 27, 2023",15.52,17.69,15.49,17.15,17.15,"25,685,800"
"Jul 26, 2023",16.90,16.90,15.90,15.97,15.97,"12,152,300"
"Jul 25, 2023",16.68,16.74,16.13,16.62,16.62,"8,789,800"
"Jul 24, 2023",17.03,17.05,16.42,16.64,16.64,"9,706,700"
"Jul 21, 2023",17.08,17.25,16.60,17.08,17.08,"9,698,400"
"Jul 20, 2023",17.58,17.87,17.07,17.43,17.43,"11,086,200"
"Jul 19, 2023",16.63,17.57,16.59,17.43,17.43,"9,180,600"
"Jul 18, 2023",17.19,17.30,16.76,16.93,16.93,"7,191,800"
"Jul 17, 2023",17.41,17.43,16.80,17.27,17.27,"6,328,100"
"Jul 14, 2023",17.67,18.01,17.16,17.35,17.35,"8,207,300"
"Jul 13, 2023",17.05,17.70,16.81,17.67,17.67,"7,836,000"
"Jul 12, 2023",18.12,18.19,17.44,17.52,17.52,"11,591,800"
"Jul 11, 2023",18.80,19.57,18.63,19.16,19.16,"8,409,900"
"Jul 10, 2023",19.62,20.01,19.25,19.38,19.38,"7,318,000"
"Jul 07, 2023",20.56,20.70,19.12,19.66,19.66,"10,821,500"
"Jul 06, 2023",20.09,22.95,20.02,20.26,20.26,"22,154,700"
"Jul 05, 2023",18.81,18.88,18.40,18.80,18.80,"4,805,000"
"Jul 03, 2023",18.40,18.70,18.26,18.35,18.35,"1,966,500"
"Jun 30, 2023",18.63,18.81,18.24,18.49,18.49,"5,269,600"
"Jun 29, 2023",18.56,19.15,18.50,19.04,19.04,"5,490,800"
"Jun 28, 2023",19.24,19.32,18.40,18.40,18.40,"6,108,800"
"Jun 27, 2023",20.00,20.01,18.89,19.50,19.50,"7,600,200"
"Jun 26, 2023",20.38,20.38,19.61,20.25,20.25,"7,473,700"
"Jun 23, 2023",20.66,21.05,19.91,20.35,20.35,"7,218,500"
"Jun 22, 2023",21.00,21.10,19.70,19.80,19.80,"2,584,650"
"Jun 21, 2023",21.10,21.20,20.60,20.70,20.70,"3,207,450"
"Jun 20, 2023",21.70,22.10,21.30,21.40,21.40,"2,996,190"
"Jun 16, 2023",22.50,22.70,21.20,21.20,21.20,"3,357,300"
"Jun 15, 2023",21.50,22.50,21.30,22.50,22.50,"2,931,230"
"Jun 14, 2023",22.60,22.60,21.60,21.70,21.70,"4,432,500"
"Jun 13, 2023",22.40,22.90,22.10,22.60,22.60,"3,184,530"
"Jun 12, 2023",22.70,23.20,22.50,22.80,22.80,"2,530,530"
"Jun 09, 2023",22.30,23.10,22.10,22.50,22.50,"3,087,730"
"Jun 08, 2023",23.50,23.60,22.00,22.40,22.40,"3,536,730"
"Jun 07, 2023",23.20,23.90,23.10,23.30,23.30,"3,507,070"
"Jun 06, 2023",25.20,25.30,23.00,23.10,23.10,"4,943,360"
"Jun 05, 2023",26.10,26.40,25.30,25.30,25.30,"2,793,510"
"Jun 02, 2023",26.80,27.10,25.70,26.10,26.10,"5,102,930"
"Jun 01, 2023",29.80,30.00,27.80,27.90,27.90,"5,203,960"
"May 31, 2023",31.20,31.80,30.00,30.50,30.50,"3,205,300"
"May 30, 2023",30.20,32.30,30.00,30.70,30.70,"4,484,490"
"May 26, 2023",33.00,33.00,30.80,31.90,31.90,"4,655,290"
"May 25, 2023",33.70,35.00,33.40,34.00,34.00,"3,840,140"
"May 24, 2023",34.60,35.80,34.40,35.30,35.30,"8,064,400"
"May 23, 2023",33.10,34.00,31.80,33.20,33.20,"6,180,740"
"May 22, 2023",32.40,33.50,31.50,32.40,32.40,"3,806,740"
"May 19, 2023",30.80,33.40,30.50,32.30,32.30,"7,014,410"
"May 18, 2023",32.90,33.20,31.10,31.20,31.20,"4,880,150"
"May 17, 2023",33.60,34.30,32.90,33.20,33.20,"6,404,170"
"May 16, 2023",34.00,34.90,33.40,34.90,34.90,"4,115,550"
"May 15, 2023",34.30,35.00,33.30,33.50,33.50,"4,583,550"
"May 12, 2023",34.30,36.00,33.90,34.80,34.80,"5,899,250"
"May 11, 2023",36.00,37.10,34.60,34.80,34.80,"5,126,420"
"May 10, 2023",35.10,37.70,34.50,35.40,35.40,"6,748,140"
"May 09, 2023",36.70,37.20,36.20,36.70,36.70,"3,236,480"
"May 08, 2023",36.30,37.10,35.70,35.70,35.70,"3,676,880"
"May 05, 2023",38.90,39.10,36.30,36.70,36.70,"4,668,000"
"May 04, 2023",40.00,43.10,39.40,41.30,41.30,"10,101,250"
"May 03, 2023",37.40,38.80,35.70,38.50,38.50,"7,767,330"
"May 02, 2023",35.50,40.50,35.50,36.90,36.90,"12,661,090"
"May 01, 2023",35.10,35.20,33.40,34.60,34.60,"5,147,660"
