Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",13.59,13.60,13.39,13.42,13.42,"17,533,800"
"Jun 29, 2023",13.32,13.56,13.31,13.52,13.52,"17,979,100"
"Jun 28, 2023",13.63,13.65,13.32,13.33,13.33,"24,680,500"
"Jun 27, 2023",14.00,14.07,13.84,13.91,13.91,"15,824,300"
"Jun 26, 2023",13.69,13.90,13.67,13.79,13.79,"12,696,000"
"Jun 23, 2023",13.70,13.76,13.59,13.70,13.70,"20,914,800"
"Jun 22, 2023",14.07,14.07,13.85,13.91,13.91,"26,128,900"
"Jun 21, 2023",14.00,14.04,13.90,13.98,13.98,"25,521,500"
"Jun 20, 2023",14.24,14.24,14.01,14.05,14.05,"24,522,800"
"Jun 16, 2023",14.33,14.55,14.28,14.44,14.44,"20,757,200"
"Jun 15, 2023",14.28,14.49,14.21,14.47,14.47,"19,115,600"
"Jun 14, 2023",14.26,14.36,14.07,14.25,14.25,"29,902,000"
"Jun 13, 2023",14.10,14.13,13.90,13.90,13.90,"22,862,700"
"Jun 12, 2023",13.81,13.82,13.62,13.77,13.77,"17,900,600"
"Jun 09, 2023",14.15,14.28,14.00,14.04,14.04,"26,761,600"
"Jun 08, 2023",14.04,14.10,13.92,14.09,14.09,"15,324,000"
"Jun 07, 2023",13.78,13.95,13.75,13.94,13.94,"24,257,200"
"Jun 06, 2023",13.74,13.92,13.72,13.74,13.74,"23,116,100"
"Jun 05, 2023",13.78,13.81,13.54,13.61,13.61,"18,834,400"
"Jun 02, 2023",13.71,13.77,13.56,13.68,13.68,"29,286,200"
"Jun 01, 2023",12.81,13.11,12.76,13.04,13.04,"52,730,200"
"May 31, 2023",12.64,12.77,12.51,12.68,12.68,"45,251,700"
"May 30, 2023",12.92,12.92,12.58,12.76,12.76,"30,416,300"
"May 26, 2023",13.27,13.38,13.14,13.26,13.26,"19,326,400"
"May 25, 2023",13.06,13.09,12.84,12.87,12.87,"19,233,900"
"May 24, 2023",13.21,13.23,13.06,13.12,13.12,"18,926,500"
"May 23, 2023",13.50,13.51,13.32,13.35,13.35,"16,843,800"
"May 22, 2023",13.83,13.83,13.67,13.69,13.69,"12,969,000"
"May 19, 2023",14.00,14.01,13.81,13.86,13.86,"21,901,900"
"May 18, 2023",14.02,14.11,13.88,14.09,14.09,"17,361,200"
"May 17, 2023",13.94,14.24,13.94,14.16,14.16,"16,908,000"
"May 16, 2023",13.98,14.07,13.64,13.69,13.69,"15,386,500"
"May 15, 2023",14.04,14.13,13.94,14.08,14.08,"17,708,000"
"May 12, 2023",13.69,13.90,13.67,13.78,13.78,"12,430,000"
"May 11, 2023",13.54,13.79,13.49,13.71,13.71,"22,353,100"
"May 10, 2023",14.25,14.26,13.81,14.00,14.00,"20,195,600"
"May 09, 2023",13.73,14.18,13.70,14.10,14.10,"19,581,700"
"May 08, 2023",14.24,14.29,13.90,13.90,13.90,"19,175,600"
"May 05, 2023",13.56,14.02,13.56,13.90,13.90,"22,991,900"
"May 04, 2023",13.70,13.71,13.25,13.36,13.36,"28,492,800"
"May 03, 2023",13.83,13.95,13.66,13.79,13.79,"18,395,100"
"May 02, 2023",14.17,14.18,13.71,13.77,13.77,"22,693,000"
"May 01, 2023",14.37,14.43,14.06,14.20,14.20,"9,671,100"
"Apr 28, 2023",14.26,14.44,14.19,14.41,14.41,"20,750,900"
