Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",22.92,23.52,22.64,22.90,22.90,"8,947,600"
"Jul 27, 2023",22.25,24.31,22.20,23.80,23.80,"16,916,700"
"Jul 26, 2023",23.57,23.57,22.61,22.67,22.67,"9,460,800"
"Jul 25, 2023",23.28,23.40,22.82,23.29,23.29,"7,115,900"
"Jul 24, 2023",23.68,23.68,23.09,23.30,23.30,"8,192,300"
"Jul 21, 2023",23.70,23.86,23.26,23.70,23.70,"9,316,700"
"Jul 20, 2023",24.15,24.42,23.68,23.99,23.99,"8,487,800"
"Jul 19, 2023",23.29,24.16,23.23,23.90,23.90,"7,985,300"
"Jul 18, 2023",23.83,23.90,23.39,23.48,23.48,"5,930,000"
"Jul 17, 2023",24.00,24.03,23.43,23.87,23.87,"5,548,500"
"Jul 14, 2023",24.22,24.54,23.76,23.92,23.92,"7,446,000"
"Jul 13, 2023",23.63,24.25,23.44,24.21,24.21,"7,336,800"
"Jul 12, 2023",24.63,24.67,24.01,24.07,24.07,"10,458,200"
"Jul 11, 2023",25.21,25.90,25.06,25.47,25.47,"8,029,200"
"Jul 10, 2023",25.94,26.27,25.60,25.66,25.66,"6,840,000"
"Jul 07, 2023",26.79,26.86,25.50,25.83,25.83,"8,179,200"
"Jul 06, 2023",26.26,28.90,26.26,26.51,26.51,"15,696,600"
"Jul 05, 2023",25.26,25.26,24.83,25.07,25.07,"5,947,500"
"Jul 03, 2023",24.91,25.10,24.71,24.74,24.74,"2,857,000"
"Jun 30, 2023",24.98,25.19,24.67,25.00,25.00,"6,059,600"
"Jun 29, 2023",24.95,25.50,24.91,25.37,25.37,"7,458,800"
"Jun 28, 2023",25.56,25.60,24.81,24.83,24.83,"6,472,300"
"Jun 27, 2023",26.20,26.21,25.24,25.77,25.77,"6,674,700"
"Jun 26, 2023",26.51,26.55,25.86,26.43,26.43,"5,872,800"
"Jun 23, 2023",26.78,27.11,26.1,26.48,26.48,"7,692,400"
"Jun 22, 2023",27.08,27.13,25.96,26.15,26.15,"5,847,300"
"Jun 21, 2023",27.04,27.27,26.68,26.79,26.79,"7,593,900"
"Jun 20, 2023",27.52,28.00,27.33,27.35,27.35,"6,441,000"
"Jun 16, 2023",28.34,28.47,27.28,27.30,27.30,"7,546,500"
"Jun 15, 2023",27.32,28.33,27.28,28.30,28.30,"6,016,100"
"Jun 14, 2023",28.31,28.39,27.52,27.57,27.57,"10,047,200"
"Jun 13, 2023",28.10,28.57,27.94,28.42,28.42,"5,758,700"
"Jun 12, 2023",28.47,28.90,28.3,28.49,28.49,"5,009,100"
"Jun 09, 2023",28.13,28.74,27.97,28.36,28.36,"7,167,500"
"Jun 08, 2023",29.00,29.13,27.89,28.21,28.21,"6,772,900"
"Jun 07, 2023",28.95,29.39,28.73,28.91,28.91,"7,525,100"
"Jun 06, 2023",30.44,30.53,28.71,28.78,28.78,"6,903,700"
"Jun 05, 2023",31.22,31.34,30.53,30.61,30.61,"5,527,000"
"Jun 02, 2023",31.68,31.90,30.85,31.18,31.18,"9,249,500"
"Jun 01, 2023",33.92,34.08,32.43,32.49,32.49,"8,478,300"
"May 31, 2023",34.94,35.48,34.13,34.46,34.46,"6,119,700"
"May 30, 2023",34.37,35.86,34.1,34.73,34.73,"7,049,800"
"May 26, 2023",36.23,36.30,34.72,35.65,35.65,"6,776,900"
"May 25, 2023",36.91,37.77,36.68,37.07,37.07,"5,028,000"
"May 24, 2023",37.44,38.33,37.36,37.96,37.96,"8,098,300"
"May 23, 2023",36.30,37.05,35.42,36.49,36.49,"5,253,500"
"May 22, 2023",35.85,36.64,35.23,35.81,35.81,"5,548,900"
"May 19, 2023",34.63,36.58,34.42,35.77,35.77,"9,049,500"
"May 18, 2023",36.23,36.37,34.88,34.90,34.90,"6,419,100"
"May 17, 2023",36.65,37.15,36.16,36.36,36.36,"7,638,200"
"May 16, 2023",36.83,37.63,36.51,37.61,37.61,"6,173,000"
"May 15, 2023",37.14,37.64,36.5,36.50,36.50,"4,977,000"
"May 12, 2023",37.04,38.43,36.83,37.51,37.51,"7,576,900"
"May 11, 2023",38.29,39.20,37.35,37.47,37.47,"6,255,200"
"May 10, 2023",37.75,39.54,37.3,37.84,37.84,"7,306,900"
"May 09, 2023",38.77,39.17,38.47,39.03,39.03,"5,072,700"
"May 08, 2023",38.54,39.09,38.06,38.11,38.11,"4,418,000"
"May 05, 2023",40.30,40.49,38.54,38.75,38.75,"7,259,500"
"May 04, 2023",40.96,43.21,40.56,42.06,42.06,"9,608,500"
"May 03, 2023",39.25,40.19,38.07,40.10,40.10,"12,603,100"
"May 02, 2023",37.88,41.49,37.88,38.89,38.89,"13,750,300"
