Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",37.00,37.25,36.85,37.19,36.54,"19,094,800"
"Jun 29, 2023",36.79,37.02,36.66,36.99,36.34,"16,740,800"
"Jun 28, 2023",36.50,36.86,36.24,36.82,36.17,"16,756,400"
"Jun 27, 2023",36.37,36.68,36.22,36.55,35.91,"17,757,800"
"Jun 26, 2023",35.66,36.14,35.50,36.11,35.47,"15,840,000"
"Jun 23, 2023",35.95,36.08,35.48,35.51,34.89,"18,959,400"
"Jun 22, 2023",35.82,35.92,35.57,35.85,35.22,"12,431,200"
"Jun 21, 2023",35.70,35.97,35.50,35.83,35.20,"17,121,200"
"Jun 20, 2023",36.08,36.17,35.78,35.81,35.18,"17,687,900"
"Jun 16, 2023",36.52,36.69,36.17,36.46,35.82,"36,093,500"
"Jun 15, 2023",35.76,36.47,35.68,36.44,35.80,"18,890,900"
"Jun 14, 2023",35.63,35.98,35.62,35.73,35.10,"16,538,700"
"Jun 13, 2023",35.50,35.79,35.42,35.48,34.86,"17,706,700"
"Jun 12, 2023",35.66,35.78,35.36,35.61,34.98,"14,044,500"
"Jun 09, 2023",35.46,35.62,35.26,35.47,34.85,"14,953,900"
"Jun 08, 2023",35.24,35.44,34.98,35.43,34.81,"17,749,700"
"Jun 07, 2023",34.72,35.28,34.63,35.26,34.64,"25,494,100"
"Jun 06, 2023",34.50,34.74,34.33,34.70,34.09,"18,406,700"
"Jun 05, 2023",34.78,35.15,34.45,34.46,33.85,"30,125,600"
"Jun 02, 2023",34.40,34.90,33.72,34.58,33.97,"61,482,900"
"Jun 01, 2023",35.60,35.90,35.42,35.72,35.09,"20,565,300"
"May 31, 2023",34.86,35.98,34.86,35.63,35.00,"53,756,700"
"May 30, 2023",34.97,35.13,34.78,34.90,34.29,"19,353,300"
"May 26, 2023",34.84,35.06,34.67,35.00,34.38,"18,216,700"
"May 25, 2023",35.54,35.56,34.74,34.82,34.21,"32,465,900"
"May 24, 2023",36.23,36.25,35.85,35.87,35.24,"16,044,200"
"May 23, 2023",35.94,36.91,35.80,36.24,35.60,"21,539,700"
"May 22, 2023",36.25,36.33,35.91,35.96,35.33,"16,634,300"
"May 19, 2023",36.22,36.52,36.03,36.05,35.42,"16,824,900"
"May 18, 2023",36.01,36.17,35.72,36.13,35.49,"20,365,900"
"May 17, 2023",36.22,36.34,36.04,36.18,35.54,"16,741,100"
"May 16, 2023",36.62,36.78,36.04,36.05,35.42,"20,244,700"
"May 15, 2023",37.63,37.63,36.72,36.77,36.12,"20,408,700"
"May 12, 2023",37.64,37.74,37.41,37.59,36.93,"10,666,900"
"May 11, 2023",37.41,37.64,37.32,37.60,36.94,"11,068,700"
"May 10, 2023",37.81,37.83,37.29,37.63,36.97,"14,427,500"
"May 09, 2023",37.82,37.82,37.43,37.57,36.91,"12,226,800"
"May 08, 2023",37.68,37.91,37.44,37.83,37.16,"10,672,400"
"May 05, 2023",37.52,37.84,37.16,37.83,37.16,"15,809,500"
"May 04, 2023",37.86,37.96,37.29,37.35,36.69,"16,163,100"
"May 03, 2023",37.96,38.30,37.61,37.98,37.31,"16,703,200"
"May 02, 2023",38.47,38.51,37.49,37.67,37.01,"17,268,700"
"May 01, 2023",39.17,39.18,38.68,38.71,38.03,"17,043,500"
"Apr 28, 2023",38.56,39.00,38.46,38.83,38.15,"19,194,400"
"Apr 27, 2023",37.20,38.81,37.13,38.79,38.11,"28,841,000"
"Apr 26, 2023",37.10,37.44,36.82,36.92,36.27,"21,499,300"
"Apr 25, 2023",36.71,37.36,36.57,37.30,36.64,"24,959,400"
"Apr 24, 2023",37.19,37.49,36.98,37.10,36.45,"20,362,500"
"Apr 21, 2023",37.43,37.43,37.05,37.32,36.66,"23,823,800"
"Apr 20, 2023",37.66,37.80,36.98,37.19,36.54,"31,521,300"
"Apr 19, 2023",38.92,38.99,38.52,38.60,37.92,"17,701,200"
"Apr 18, 2023",39.47,39.49,38.90,38.94,38.26,"16,588,500"
"Apr 17, 2023",39.22,39.51,39.14,39.46,38.77,"11,572,900"
"Apr 14, 2023",39.37,39.42,38.89,39.22,38.53,"11,008,400"
"Apr 13, 2023",39.19,39.32,38.92,39.32,38.63,"13,515,800"
"Apr 12, 2023",39.37,39.63,39.10,39.20,38.51,"13,095,200"
"Apr 11, 2023",39.33,39.70,39.27,39.45,38.76,"12,539,700"
"Apr 10, 2023",39.21,39.35,38.99,39.35,38.66,"16,114,300"
