Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",30.72,30.86,29.67,29.80,29.80,"11,323,200"
"Jul 27, 2023",30.94,31.32,30.50,30.63,30.63,"8,259,900"
"Jul 26, 2023",30.72,30.98,30.65,30.85,30.85,"5,848,300"
"Jul 25, 2023",30.64,30.74,30.37,30.69,30.69,"6,046,600"
"Jul 24, 2023",30.52,30.68,30.33,30.64,30.64,"6,310,300"
"Jul 21, 2023",30.24,30.58,29.93,30.46,30.46,"17,543,000"
"Jul 20, 2023",30.05,30.31,29.92,30.24,30.24,"7,325,800"
"Jul 19, 2023",29.65,30.04,29.60,29.93,29.93,"6,155,200"
"Jul 18, 2023",29.09,29.72,29.07,29.58,29.58,"6,256,000"
"Jul 17, 2023",29.11,29.23,28.86,29.12,29.12,"6,437,300"
"Jul 14, 2023",29.74,29.88,29.16,29.20,29.20,"9,534,200"
"Jul 13, 2023",30.30,30.43,29.65,29.74,29.74,"10,933,800"
"Jul 12, 2023",30.89,31.10,30.28,30.32,30.32,"7,572,300"
"Jul 11, 2023",29.95,30.59,29.84,30.57,30.57,"8,815,800"
"Jul 10, 2023",29.10,29.84,29.04,29.79,29.79,"8,546,600"
"Jul 07, 2023",29.10,29.45,28.94,29.10,29.10,"11,088,300"
"Jul 06, 2023",29.10,29.26,28.67,29.11,29.11,"9,876,000"
"Jul 05, 2023",28.88,29.51,28.67,29.26,29.26,"9,073,700"
"Jul 03, 2023",28.39,29.03,28.31,29.02,29.02,"6,966,600"
"Jun 30, 2023",28.44,28.63,28.24,28.49,28.49,"12,868,000"
"Jun 29, 2023",28.89,29.22,28.28,28.37,28.37,"15,715,400"
"Jun 28, 2023",28.51,29.08,28.2,29.08,29.08,"18,375,200"
"Jun 27, 2023",28.56,29.17,28.14,28.64,28.64,"46,928,300"
"Jun 26, 2023",31.3,31.88,31.14,31.59,31.59,"11,511,400"
"Jun 23, 2023",31.73,31.8,31.3,31.4,31.4,"15,844,800"
"Jun 22, 2023",31.65,32.0,31.48,31.89,31.89,"5,947,300"
"Jun 21, 2023",32.32,32.53,31.48,31.56,31.56,"10,387,800"
