Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",12.55,12.86,12.45,12.79,12.79,"16,126,700"
"Jul 27, 2023",13.00,13.02,12.24,12.29,12.29,"16,434,600"
"Jul 26, 2023",12.55,12.81,12.47,12.76,12.76,"12,544,500"
"Jul 25, 2023",12.58,12.79,12.42,12.53,12.53,"15,816,500"
"Jul 24, 2023",13.01,13.11,12.56,12.61,12.61,"16,752,300"
"Jul 21, 2023",13.24,13.40,12.87,12.93,12.93,"40,073,700"
"Jul 20, 2023",13.16,13.42,13.04,13.11,13.11,"15,620,900"
"Jul 19, 2023",12.84,13.36,12.83,13.28,13.28,"19,700,900"
"Jul 18, 2023",12.33,13.05,12.32,12.77,12.77,"20,815,500"
"Jul 17, 2023",12.36,12.36,12.14,12.31,12.31,"17,472,100"
"Jul 14, 2023",13.05,13.09,12.37,12.40,12.40,"17,652,800"
"Jul 13, 2023",13.23,13.27,12.55,13.10,13.10,"22,969,600"
"Jul 12, 2023",13.50,13.59,13.07,13.16,13.16,"14,585,600"
"Jul 11, 2023",12.94,13.34,12.92,13.30,13.30,"16,808,500"
"Jul 10, 2023",12.51,13.03,12.44,12.95,12.95,"15,047,900"
"Jul 07, 2023",12.25,12.82,12.25,12.54,12.54,"13,769,200"
"Jul 06, 2023",12.64,12.70,12.40,12.67,12.67,"14,078,800"
"Jul 05, 2023",12.87,13.04,12.54,12.83,12.83,"14,367,600"
"Jul 03, 2023",12.52,13.03,12.51,13.01,13.01,"11,593,100"
"Jun 30, 2023",12.53,12.58,12.41,12.54,12.54,"17,328,000"
"Jun 29, 2023",12.3,12.5,12.23,12.42,12.42,"13,587,800"
"Jun 28, 2023",12.27,12.5,12.13,12.45,12.45,"17,592,500"
"Jun 27, 2023",11.83,12.44,11.78,12.27,12.27,"31,123,900"
"Jun 26, 2023",11.79,12.0,11.6,11.78,11.78,"27,227,300"
"Jun 23, 2023",11.94,11.97,11.67,11.79,11.79,"57,381,300"
"Jun 22, 2023",12.37,12.41,12.02,12.09,12.09,"19,138,500"
"Jun 21, 2023",12.19,12.48,12.06,12.37,12.37,"27,539,200"
"Jun 20, 2023",12.65,12.74,12.15,12.19,12.19,"30,172,600"
"Jun 16, 2023",13.09,13.11,12.58,12.8,12.8,"46,119,100"
"Jun 15, 2023",13.61,13.62,12.85,13.13,13.13,"43,427,100"
