Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",42.95,43.22,42.62,42.68,42.68,"20,059,500"
"Jun 29, 2023",41.48,42.51,41.37,42.45,42.45,"23,956,300"
"Jun 28, 2023",40.92,40.94,40.38,40.62,40.62,"13,959,600"
"Jun 27, 2023",40.62,41.06,40.34,40.91,40.91,"11,749,600"
"Jun 26, 2023",40.78,41.22,40.46,40.59,40.59,"13,618,500"
"Jun 23, 2023",40.53,40.74,40.30,40.61,40.61,"18,952,000"
"Jun 22, 2023",41.55,41.63,40.92,41.06,41.06,"11,504,400"
"Jun 21, 2023",41.85,41.96,41.53,41.65,41.65,"11,686,500"
"Jun 20, 2023",42.12,42.14,41.34,41.89,41.89,"16,679,600"
"Jun 16, 2023",42.58,42.74,42.06,42.18,42.18,"36,421,600"
"Jun 15, 2023",41.82,42.42,41.62,42.36,42.36,"14,188,200"
"Jun 14, 2023",42.75,42.99,41.99,42.08,42.08,"14,826,100"
"Jun 13, 2023",41.68,43.34,41.53,42.65,42.65,"18,864,000"
"Jun 12, 2023",42.11,42.76,41.41,41.83,41.83,"19,433,400"
"Jun 09, 2023",42.33,42.47,42.03,42.13,42.13,"11,098,900"
"Jun 08, 2023",41.70,42.40,41.56,42.37,42.37,"17,157,300"
"Jun 07, 2023",41.45,42.14,40.99,42.07,42.07,"17,781,800"
"Jun 06, 2023",40.40,41.62,40.26,41.26,41.26,"18,825,100"
"Jun 05, 2023",41.16,41.16,40.44,40.45,40.45,"18,443,900"
"Jun 02, 2023",40.62,41.55,40.38,41.24,41.24,"16,905,100"
"Jun 01, 2023",40.21,40.53,39.68,40.06,40.06,"17,079,400"
"May 31, 2023",40.29,40.47,39.30,39.81,39.81,"27,221,100"
"May 30, 2023",41.24,41.42,40.34,40.98,40.98,"14,752,600"
"May 26, 2023",40.90,41.52,40.76,41.23,41.23,"17,399,400"
"May 25, 2023",40.62,41.29,40.52,40.90,40.90,"17,691,800"
"May 24, 2023",40.89,41.29,40.68,40.87,40.87,"21,193,700"
"May 23, 2023",41.01,42.12,40.98,41.21,41.21,"26,116,600"
"May 22, 2023",40.20,41.23,40.10,40.98,40.98,"27,519,400"
"May 19, 2023",40.33,40.46,39.62,40.03,40.03,"19,769,800"
"May 18, 2023",40.32,40.32,39.57,40.21,40.21,"27,213,900"
