Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",159.29,160.94,159.29,159.91,159.91,"3,673,400"
"Jul 27, 2023",160.08,160.64,159.13,159.16,159.16,"4,466,800"
"Jul 26, 2023",159.24,160.69,158.94,159.74,159.74,"5,031,400"
"Jul 25, 2023",160.46,160.51,158.28,159.17,159.17,"5,184,600"
"Jul 24, 2023",158.45,159.48,157.56,159.30,159.30,"4,176,600"
"Jul 21, 2023",157.90,158.78,157.44,158.37,158.37,"5,652,600"
"Jul 20, 2023",154.93,157.55,154.90,157.48,157.48,"4,995,900"
"Jul 19, 2023",154.80,155.20,153.75,154.62,154.62,"4,124,300"
"Jul 18, 2023",154.67,155.66,153.86,154.57,154.57,"4,480,100"
"Jul 17, 2023",154.40,154.98,153.82,154.85,154.85,"3,378,400"
"Jul 14, 2023",154.12,154.67,153.58,154.66,154.66,"3,475,000"
"Jul 13, 2023",155.43,155.60,153.69,154.13,154.13,"3,953,200"
"Jul 12, 2023",155.31,155.89,154.82,155.04,155.04,"5,503,300"
"Jul 11, 2023",154.77,155.51,153.86,154.65,154.65,"3,821,100"
"Jul 10, 2023",154.56,155.50,154.32,154.88,154.88,"4,322,600"
"Jul 07, 2023",155.81,156.29,153.45,153.49,153.49,"6,588,700"
"Jul 06, 2023",157.93,158.18,156.87,157.11,157.11,"4,809,000"
"Jul 05, 2023",158.16,159.12,157.34,158.11,158.11,"5,861,800"
"Jul 03, 2023",156.81,158.44,156.33,158.20,158.20,"2,882,500"
"Jun 30, 2023",154.97,157.53,154.78,157.18,157.18,"6,357,000"
"Jun 29, 2023",154.51,154.75,153.14,154.28,154.28,"7,176,800"
"Jun 28, 2023",154.73,155.68,154.64,155.33,155.33,"6,296,600"
"Jun 27, 2023",154.15,155.85,154.06,154.49,154.49,"4,031,200"
"Jun 26, 2023",155.65,155.78,154.32,155.05,155.05,"4,702,100"
"Jun 23, 2023",155.88,156.29,155.02,155.46,155.46,"6,325,000"
"Jun 22, 2023",154.98,156.08,154.48,155.75,155.75,"4,435,800"
"Jun 21, 2023",154.21,155.34,153.36,154.46,154.46,"6,417,000"
"Jun 20, 2023",154.7,155.45,153.88,154.16,154.16,"6,664,800"
"Jun 16, 2023",158.08,158.15,155.28,155.53,155.53,"11,556,700"
"Jun 15, 2023",157.0,158.23,156.98,157.73,157.73,"6,053,500"
"Jun 14, 2023",155.91,157.33,155.61,156.87,156.87,"7,034,400"
"Jun 13, 2023",154.52,155.51,154.07,155.3,155.3,"5,246,300"
"Jun 12, 2023",153.43,154.3,153.17,154.1,154.1,"4,904,500"
"Jun 09, 2023",152.16,153.72,151.6,153.09,153.09,"5,201,300"
"Jun 08, 2023",150.39,152.43,149.79,152.17,152.17,"6,291,000"
"Jun 07, 2023",149.25,150.36,149.04,150.0,150.0,"8,085,500"
"Jun 06, 2023",149.7,150.19,148.51,149.78,149.78,"5,005,200"
"Jun 05, 2023",149.37,151.25,149.37,149.8,149.8,"5,184,400"
"Jun 02, 2023",147.22,149.01,147.1,148.82,148.82,"6,391,300"
"Jun 01, 2023",146.21,147.9,145.94,147.41,147.41,"6,746,400"
"May 31, 2023",145.42,147.31,145.01,146.87,146.87,"10,043,600"
"May 30, 2023",146.3,147.29,145.6,146.06,146.06,"5,247,500"
"May 26, 2023",145.7,146.82,145.47,146.42,146.42,"5,240,300"
"May 25, 2023",146.88,147.44,145.09,146.16,146.16,"7,099,700"
"May 24, 2023",148.51,148.54,146.3,147.63,147.63,"6,838,400"
"May 23, 2023",148.01,148.86,147.08,148.31,148.31,"5,434,100"
"May 22, 2023",149.7,150.08,148.29,148.59,148.59,"5,372,600"
"May 19, 2023",151.4,151.46,149.11,149.91,149.91,"9,195,600"
"May 18, 2023",151.8,154.29,149.95,151.47,151.47,"15,589,500"
"May 17, 2023",151.14,151.15,148.71,149.53,149.53,"8,995,300"
"May 16, 2023",150.85,151.53,149.57,149.78,149.78,"5,170,700"
"May 15, 2023",153.5,153.85,151.38,151.88,151.88,"5,371,300"
"May 12, 2023",153.6,154.07,152.71,153.07,153.07,"5,371,800"
"May 11, 2023",152.55,153.27,152.0,153.12,153.12,"3,975,600"
"May 10, 2023",153.69,154.35,151.23,152.55,152.55,"5,275,900"
"May 09, 2023",152.72,153.18,152.34,152.98,152.98,"5,069,900"
"May 08, 2023",151.27,152.95,151.06,152.72,152.72,"4,975,400"
"May 05, 2023",150.3,152.01,149.83,151.77,151.77,"4,850,000"
"May 04, 2023",150.55,150.99,149.49,150.47,150.47,"4,670,400"
"May 03, 2023",151.56,152.1,150.27,150.62,150.05,"4,111,500"
"May 02, 2023",151.47,151.49,149.46,151.18,150.61,"3,776,500"
"May 01, 2023",151.04,152.54,150.93,151.59,151.02,"3,803,200"
"Apr 28, 2023",151.29,152.17,150.18,150.97,150.4,"4,693,900"
"Apr 27, 2023",150.78,151.94,150.78,151.38,150.81,"4,287,000"
"Apr 26, 2023",150.98,151.41,150.22,150.91,150.34,"4,303,400"
"Apr 25, 2023",153.29,153.75,151.33,151.57,151.0,"5,748,900"
"Apr 24, 2023",151.71,152.95,151.71,152.76,152.18,"4,526,500"
"Apr 21, 2023",151.96,152.3,151.18,151.73,151.16,"8,445,000"
"Apr 20, 2023",150.21,151.39,149.6,150.97,150.4,"4,547,200"
"Apr 19, 2023",150.84,151.41,149.77,150.01,149.44,"4,144,500"
"Apr 18, 2023",149.78,150.34,149.44,149.85,149.28,"4,494,100"
"Apr 17, 2023",148.64,149.67,148.5,149.52,148.95,"5,388,900"
"Apr 14, 2023",149.03,149.89,148.15,148.48,147.92,"3,488,300"
"Apr 13, 2023",149.65,150.0,148.2,149.49,148.92,"4,424,200"
"Apr 12, 2023",149.79,150.97,149.17,149.34,148.77,"3,736,600"
"Apr 11, 2023",151.0,151.0,149.62,150.07,149.5,"6,123,500"
"Apr 10, 2023",150.36,151.12,149.77,150.51,149.94,"4,839,700"
"Apr 06, 2023",148.8,151.04,148.52,150.8,150.23,"5,963,900"
"Apr 05, 2023",147.17,149.88,147.14,149.67,149.1,"8,846,900"
"Apr 04, 2023",148.53,148.79,147.02,147.23,146.67,"6,037,900"
"Apr 03, 2023",147.73,148.95,147.5,148.69,148.13,"6,588,900"
"Mar 31, 2023",146.58,148.44,146.47,147.45,146.89,"6,956,000"
"Mar 30, 2023",145.5,146.6,145.02,145.67,145.12,"7,293,000"
"Mar 29, 2023",144.37,144.96,143.45,144.23,143.68,"8,072,300"
"Mar 28, 2023",143.65,144.41,143.05,143.61,143.07,"7,094,300"
"Mar 27, 2023",142.79,144.98,142.78,144.17,143.62,"8,925,200"
"Mar 24, 2023",141.01,142.47,140.6,141.8,141.26,"7,584,100"
"Mar 23, 2023",140.2,141.61,139.49,140.65,140.12,"7,348,100"
"Mar 22, 2023",140.64,141.22,139.46,139.52,138.99,"6,182,800"
"Mar 21, 2023",141.39,141.39,139.53,140.42,139.89,"6,337,800"
"Mar 20, 2023",140.1,141.92,139.81,140.9,140.37,"11,309,500"
"Mar 17, 2023",138.19,139.49,137.59,139.4,138.87,"14,360,400"
"Mar 16, 2023",139.43,139.65,137.88,138.28,137.76,"9,635,200"
"Mar 15, 2023",136.89,139.81,136.71,139.64,138.54,"11,044,500"
"Mar 14, 2023",137.69,138.27,137.0,138.1,137.02,"8,514,200"
"Mar 13, 2023",136.68,138.5,136.58,137.37,136.29,"9,380,700"
"Mar 10, 2023",137.02,138.28,136.09,136.97,135.89,"6,688,400"
"Mar 09, 2023",138.83,138.98,136.92,137.17,136.09,"5,138,600"
"Mar 08, 2023",138.56,138.92,137.28,138.1,137.02,"6,363,600"
"Mar 07, 2023",141.18,141.68,138.79,139.25,138.16,"5,795,800"
"Mar 06, 2023",140.5,140.98,140.02,140.65,139.55,"5,573,600"
"Mar 03, 2023",141.04,141.19,139.77,140.67,139.57,"5,629,600"
"Mar 02, 2023",139.84,140.74,139.5,140.5,139.4,"4,928,500"
"Mar 01, 2023",141.06,141.28,139.37,140.15,139.05,"4,726,700"
"Feb 28, 2023",141.0,142.65,140.95,142.13,141.01,"6,018,000"
"Feb 27, 2023",142.71,143.09,140.66,141.44,140.33,"5,549,100"
"Feb 24, 2023",140.84,142.74,139.53,142.47,141.35,"6,874,500"
"Feb 23, 2023",144.37,144.37,140.71,142.09,140.97,"7,340,400"
"Feb 22, 2023",146.77,147.57,142.76,144.24,143.11,"9,948,000"
"Feb 21, 2023",142.88,148.34,142.15,147.33,146.17,"18,131,300"
"Feb 17, 2023",145.11,146.69,144.57,146.44,145.29,"8,256,900"
"Feb 16, 2023",145.48,145.99,144.18,144.27,143.14,"5,437,400"
"Feb 15, 2023",144.96,146.6,144.56,146.57,145.42,"4,891,400"
"Feb 14, 2023",145.73,147.13,144.56,145.49,144.35,"4,610,400"
"Feb 13, 2023",144.71,146.12,144.51,145.91,144.76,"5,338,600"
"Feb 10, 2023",143.09,143.94,142.17,143.72,142.59,"5,000,900"
"Feb 09, 2023",140.87,141.94,140.57,141.52,140.41,"4,354,800"
"Feb 08, 2023",140.33,141.1,139.99,140.22,139.12,"3,897,100"
"Feb 07, 2023",139.77,141.3,138.69,140.98,139.87,"5,447,100"
"Feb 06, 2023",141.82,142.1,140.03,140.68,139.58,"5,818,000"
"Feb 03, 2023",143.36,143.96,140.86,141.71,140.6,"5,718,500"
