Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",83.23,83.93,82.69,83.20,83.20,"5,051,600"
"Jun 29, 2023",83.69,83.95,82.48,82.62,82.62,"6,458,100"
"Jun 28, 2023",82.92,83.99,82.36,83.98,83.98,"5,504,300"
"Jun 27, 2023",83.22,83.37,82.03,82.92,82.92,"7,836,500"
"Jun 26, 2023",84.69,84.88,82.98,83.17,83.17,"7,183,300"
"Jun 23, 2023",86.01,86.07,84.96,85.12,85.12,"7,666,200"
"Jun 22, 2023",87.02,87.49,86.29,86.59,86.59,"4,725,300"
"Jun 21, 2023",87.25,87.80,85.88,87.16,87.16,"6,781,700"
"Jun 20, 2023",87.34,88.17,86.38,87.64,87.64,"7,364,800"
"Jun 16, 2023",89.85,90.09,87.50,87.67,87.67,"7,856,400"
"Jun 15, 2023",88.37,89.54,87.91,89.19,89.19,"6,896,000"
"Jun 14, 2023",90.51,90.85,87.83,88.89,88.89,"7,813,000"
"Jun 13, 2023",88.97,90.91,88.92,90.23,90.23,"8,260,600"
"Jun 12, 2023",88.44,90.18,87.74,88.61,88.61,"7,391,100"
"Jun 09, 2023",88.64,88.83,87.21,87.66,87.66,"7,334,300"
"Jun 08, 2023",88.11,88.67,87.29,88.12,88.12,"4,840,700"
"Jun 07, 2023",88.15,88.89,87.01,88.21,88.21,"6,099,700"
"Jun 06, 2023",86.98,88.28,86.28,88.12,88.12,"5,971,200"
"Jun 05, 2023",86.00,87.28,85.93,86.71,86.71,"5,653,700"
"Jun 02, 2023",85.87,86.43,84.73,86.43,86.43,"5,284,200"
"Jun 01, 2023",84.30,85.50,83.12,85.08,85.08,"7,106,300"
"May 31, 2023",83.19,85.50,82.94,83.92,83.92,"6,271,500"
"May 30, 2023",84.61,85.59,82.65,83.14,83.14,"6,058,600"
"May 26, 2023",83.68,84.47,83.07,84.31,84.31,"4,570,000"
"May 25, 2023",85.61,85.67,82.61,83.55,83.55,"9,143,200"
