Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",81.20,81.58,80.60,81.17,81.17,"17,983,000"
"Jun 29, 2023",80.03,80.65,79.60,80.65,80.65,"14,217,900"
"Jun 28, 2023",78.85,79.83,78.15,79.73,79.73,"16,451,600"
"Jun 27, 2023",78.67,79.27,78.21,78.93,78.93,"14,194,200"
"Jun 26, 2023",77.50,79.19,77.32,78.75,78.75,"16,244,300"
"Jun 23, 2023",77.08,77.57,76.72,77.36,77.36,"17,452,600"
"Jun 22, 2023",78.26,78.35,77.63,77.92,77.92,"16,753,700"
"Jun 21, 2023",78.04,79.65,77.92,78.98,78.98,"17,236,900"
"Jun 20, 2023",79.62,79.71,77.77,78.36,78.36,"21,276,000"
"Jun 16, 2023",81.28,81.51,80.63,80.86,80.15,"23,721,100"
"Jun 15, 2023",80.24,81.59,80.22,80.98,80.27,"23,388,500"
"Jun 14, 2023",81.73,82.09,79.50,80.10,79.40,"23,802,700"
"Jun 13, 2023",81.44,82.52,80.89,80.93,80.22,"20,068,200"
"Jun 12, 2023",80.11,81.36,80.00,80.55,79.85,"18,193,500"
"Jun 09, 2023",81.74,82.14,81.11,81.33,80.62,"19,193,500"
"Jun 08, 2023",82.24,82.52,80.42,81.78,81.07,"23,077,600"
"Jun 07, 2023",80.40,82.23,80.35,82.13,81.41,"30,327,100"
"Jun 06, 2023",78.32,80.08,78.24,80.01,79.31,"17,375,400"
"Jun 05, 2023",81.07,81.07,79.23,79.37,78.68,"18,913,100"
"Jun 02, 2023",78.99,80.28,78.45,79.90,79.20,"27,635,400"
"Jun 01, 2023",76.77,78.41,76.25,77.54,76.86,"25,811,800"
"May 31, 2023",76.74,77.33,76.33,76.59,75.92,"22,398,800"
"May 30, 2023",77.40,78.05,77.10,77.96,77.28,"20,165,800"
"May 26, 2023",79.56,79.78,78.36,78.77,78.08,"14,392,900"
"May 25, 2023",79.35,79.52,78.34,79.08,78.39,"19,125,500"
"May 24, 2023",80.79,81.13,79.83,80.51,79.81,"16,737,100"
"May 23, 2023",80.07,81.07,79.86,80.16,79.46,"21,401,900"
"May 22, 2023",79.34,80.12,79.19,79.31,78.62,"13,471,800"
"May 19, 2023",79.76,80.26,79.19,79.64,78.94,"18,059,100"
"May 18, 2023",77.99,79.13,77.50,79.03,78.34,"16,577,100"
"May 17, 2023",77.77,78.88,77.20,78.46,77.77,"23,100,300"
"May 16, 2023",78.55,78.89,76.86,76.98,76.31,"22,255,600"
"May 15, 2023",78.81,79.37,78.19,78.92,78.23,"16,272,300"
"May 12, 2023",78.79,79.32,77.95,78.52,77.83,"18,952,700"
"May 11, 2023",78.23,78.81,77.80,78.40,77.72,"19,084,100"
"May 10, 2023",80.66,80.82,78.75,79.35,78.66,"18,026,000"
"May 09, 2023",79.60,81.02,79.43,80.26,79.56,"20,710,600"
"May 08, 2023",81.40,81.75,80.22,80.23,79.53,"16,355,900"
"May 05, 2023",80.27,80.86,79.79,80.23,79.53,"19,533,600"
"May 04, 2023",79.02,79.82,77.87,78.11,77.43,"26,430,500"
"May 03, 2023",79.48,80.41,78.96,78.99,78.30,"29,683,800"
"May 02, 2023",83.16,83.29,79.74,80.51,79.81,"33,824,000"
"May 01, 2023",84.06,85.08,83.72,84.17,83.44,"13,910,700"
