Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",35.41,35.42,35.01,35.20,35.20,"32,422,700"
"Jul 27, 2023",35.58,35.67,35.08,35.13,35.13,"44,072,800"
"Jul 26, 2023",35.33,35.69,35.28,35.58,35.58,"35,638,700"
"Jul 25, 2023",35.50,35.58,35.34,35.37,35.37,"36,218,600"
"Jul 24, 2023",35.28,35.71,35.27,35.60,35.60,"32,299,800"
"Jul 21, 2023",35.44,35.46,35.17,35.26,35.26,"30,609,200"
"Jul 20, 2023",35.06,35.39,35.05,35.38,35.38,"45,591,500"
"Jul 19, 2023",34.97,35.26,34.96,35.12,35.12,"45,599,800"
"Jul 18, 2023",34.66,35.00,34.61,34.97,34.97,"47,176,500"
"Jul 17, 2023",34.21,34.68,34.21,34.58,34.58,"38,568,900"
"Jul 14, 2023",34.73,34.74,34.20,34.25,34.25,"47,547,500"
"Jul 13, 2023",34.41,34.53,34.35,34.48,34.48,"40,453,700"
"Jul 12, 2023",34.42,34.60,34.27,34.36,34.36,"46,546,000"
"Jul 11, 2023",33.86,34.18,33.79,34.14,34.14,"33,754,200"
"Jul 10, 2023",33.60,33.93,33.57,33.74,33.74,"27,254,400"
"Jul 07, 2023",33.40,33.87,33.40,33.59,33.59,"33,479,500"
"Jul 06, 2023",33.55,33.58,33.25,33.54,33.54,"45,808,400"
"Jul 05, 2023",33.70,33.92,33.60,33.83,33.83,"39,831,600"
"Jul 03, 2023",33.71,34.00,33.66,33.90,33.90,"19,128,000"
"Jun 30, 2023",33.64,33.85,33.58,33.71,33.71,"44,727,600"
"Jun 29, 2023",33.02,33.42,32.98,33.42,33.42,"47,471,000"
"Jun 28, 2023",32.89,32.9,32.7,32.85,32.85,"36,663,200"
"Jun 27, 2023",32.73,33.0,32.71,32.93,32.93,"34,348,100"
"Jun 26, 2023",32.69,32.94,32.58,32.67,32.67,"25,728,300"
"Jun 23, 2023",32.63,32.85,32.52,32.74,32.74,"35,529,600"
"Jun 22, 2023",33.08,33.09,32.77,32.88,32.88,"38,690,000"
"Jun 21, 2023",33.1,33.3,33.0,33.14,33.14,"35,967,600"
"Jun 20, 2023",33.21,33.27,32.98,33.18,33.18,"50,683,100"
"Jun 16, 2023",33.8,33.83,33.54,33.58,33.43,"49,842,000"
"Jun 15, 2023",33.1,33.73,33.07,33.65,33.5,"52,241,800"
"Jun 14, 2023",33.42,33.59,33.1,33.21,33.06,"57,195,400"
"Jun 13, 2023",33.11,33.48,33.07,33.34,33.19,"46,054,400"
"Jun 12, 2023",33.18,33.27,32.89,33.14,32.99,"33,655,200"
"Jun 09, 2023",33.08,33.29,33.06,33.15,33.0,"34,021,700"
"Jun 08, 2023",33.06,33.19,32.88,33.14,32.99,"36,261,200"
"Jun 07, 2023",33.07,33.24,32.87,33.17,33.02,"48,467,100"
"Jun 06, 2023",32.6,33.09,32.58,33.04,32.89,"46,236,100"
"Jun 05, 2023",32.84,32.84,32.48,32.63,32.48,"53,591,100"
"Jun 02, 2023",32.41,32.92,32.41,32.8,32.65,"65,747,500"
"Jun 01, 2023",31.94,32.17,31.72,32.1,31.96,"48,643,400"
"May 31, 2023",31.91,31.94,31.49,31.76,31.62,"67,667,900"
