Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",107.06,107.62,106.60,107.32,107.32,"11,430,800"
"Jun 29, 2023",105.27,106.44,105.19,106.41,106.41,"10,236,000"
"Jun 28, 2023",105.42,105.60,105.03,105.39,105.39,"7,866,600"
"Jun 27, 2023",104.36,105.51,104.18,105.39,105.39,"8,210,200"
"Jun 26, 2023",103.24,104.34,103.11,104.14,104.14,"7,639,200"
"Jun 23, 2023",103.17,103.68,102.91,103.28,103.28,"11,246,200"
"Jun 22, 2023",104.43,104.55,103.89,104.07,104.07,"11,641,800"
"Jun 21, 2023",103.71,105.13,103.49,104.83,104.83,"12,206,200"
"Jun 20, 2023",104.36,104.66,103.84,104.25,104.25,"9,527,500"
"Jun 16, 2023",105.95,106.60,105.29,105.45,105.03,"14,448,400"
"Jun 15, 2023",104.01,105.83,103.95,105.62,105.20,"12,776,600"
"Jun 14, 2023",104.62,104.87,103.60,104.05,103.64,"14,953,600"
"Jun 13, 2023",103.32,104.42,103.19,104.33,103.91,"14,474,000"
"Jun 12, 2023",102.50,103.31,102.12,103.13,102.72,"9,905,000"
"Jun 09, 2023",102.69,102.76,101.73,102.40,101.99,"9,870,800"
"Jun 08, 2023",102.31,102.91,101.83,102.67,102.26,"10,074,600"
"Jun 07, 2023",100.93,102.56,100.58,102.49,102.08,"13,384,300"
"Jun 06, 2023",100.00,101.03,99.91,100.87,100.47,"10,509,400"
"Jun 05, 2023",101.15,101.15,100.11,100.24,99.84,"9,655,500"
"Jun 02, 2023",99.12,101.24,99.06,100.94,100.54,"21,450,800"
"Jun 01, 2023",97.08,98.31,96.75,98.09,97.70,"12,573,600"
"May 31, 2023",97.81,97.95,96.53,96.85,96.46,"13,021,500"
"May 30, 2023",98.48,98.72,97.70,98.19,97.80,"9,828,300"
"May 26, 2023",97.90,98.72,97.78,98.34,97.95,"10,790,500"
"May 25, 2023",97.36,97.85,96.74,97.61,97.22,"14,259,300"
"May 24, 2023",98.27,98.30,97.15,97.29,96.90,"11,654,900"
"May 23, 2023",99.32,99.60,98.39,98.56,98.17,"11,744,600"
"May 22, 2023",99.82,100.38,98.95,99.76,99.36,"9,038,600"
"May 19, 2023",100.79,100.89,99.27,99.78,99.38,"10,028,200"
"May 18, 2023",99.14,100.18,98.86,100.02,99.62,"10,813,000"
"May 17, 2023",98.23,99.62,98.18,99.30,98.90,"12,387,400"
"May 16, 2023",98.49,98.59,97.62,97.62,97.23,"9,416,200"
"May 15, 2023",98.44,99.30,98.09,98.96,98.57,"8,433,600"
"May 12, 2023",98.84,99.15,97.75,98.48,98.09,"8,552,400"
"May 11, 2023",98.49,98.62,97.86,98.41,98.02,"11,573,800"
"May 10, 2023",100.00,100.12,97.88,99.01,98.62,"12,580,500"
"May 09, 2023",98.91,99.52,98.71,99.37,98.97,"8,068,100"
"May 08, 2023",99.90,100.07,98.79,99.15,98.76,"7,610,200"
"May 05, 2023",98.93,99.81,98.81,99.51,99.11,"9,231,300"
"May 04, 2023",99.01,99.22,97.49,98.03,97.64,"15,150,000"
"May 03, 2023",99.82,100.51,99.04,99.11,98.72,"13,371,600"
