Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",67.63,67.90,66.71,67.04,67.04,"13,216,100"
"Jul 27, 2023",68.13,68.42,67.05,67.19,67.19,"16,065,100"
"Jul 26, 2023",68.22,69.16,68.08,68.40,68.40,"11,579,100"
"Jul 25, 2023",68.20,68.61,67.99,68.40,68.40,"8,350,800"
"Jul 24, 2023",68.56,68.68,67.96,68.28,68.28,"13,242,300"
"Jul 21, 2023",67.72,68.73,67.60,68.46,68.46,"18,372,500"
"Jul 20, 2023",66.42,67.55,66.08,67.45,67.45,"16,664,500"
"Jul 19, 2023",65.62,66.63,65.62,66.24,66.24,"13,577,000"
"Jul 18, 2023",66.02,66.59,64.99,65.57,65.57,"18,132,900"
"Jul 17, 2023",66.63,66.78,66.05,66.08,66.08,"10,630,400"
"Jul 14, 2023",66.94,67.14,66.47,66.85,66.85,"10,141,200"
"Jul 13, 2023",66.88,67.13,66.64,67.11,67.11,"9,917,700"
"Jul 12, 2023",66.12,66.96,66.00,66.88,66.88,"13,327,500"
"Jul 11, 2023",65.24,65.94,65.00,65.92,65.92,"11,437,200"
"Jul 10, 2023",65.28,65.50,64.59,65.11,65.11,"12,410,100"
"Jul 07, 2023",65.44,65.85,65.22,65.39,65.39,"12,892,500"
"Jul 06, 2023",66.15,66.34,65.51,65.87,65.87,"15,422,800"
"Jul 05, 2023",65.70,67.18,65.61,66.68,66.68,"19,169,000"
"Jul 03, 2023",65.30,65.96,65.08,65.93,65.93,"8,164,600"
"Jun 30, 2023",64.81,65.51,64.78,65.44,65.44,"13,926,600"
"Jun 29, 2023",64.21,65.08,64.07,64.72,64.72,"14,653,900"
"Jun 28, 2023",65.67,65.67,64.55,64.72,64.72,"14,723,800"
"Jun 27, 2023",65.72,65.92,65.48,65.69,65.69,"8,510,400"
"Jun 26, 2023",65.14,65.87,64.89,65.67,65.67,"10,267,600"
"Jun 23, 2023",66.19,66.42,64.94,65.03,65.03,"12,719,600"
"Jun 22, 2023",66.76,66.89,65.81,66.0,66.0,"10,000,400"
"Jun 21, 2023",65.75,66.58,65.03,66.51,66.51,"10,722,700"
"Jun 20, 2023",66.57,66.71,65.91,65.98,65.98,"12,925,400"
"Jun 16, 2023",67.1,67.84,67.05,67.3,66.76,"13,685,100"
"Jun 15, 2023",66.47,67.1,66.33,66.94,66.41,"13,701,200"
"Jun 14, 2023",66.5,67.01,66.09,66.22,65.69,"14,023,600"
"Jun 13, 2023",65.87,66.49,65.76,66.26,65.73,"11,868,600"
"Jun 12, 2023",66.44,66.62,66.0,66.27,65.74,"11,483,700"
"Jun 09, 2023",66.8,66.85,66.35,66.39,65.86,"13,316,300"
"Jun 08, 2023",66.47,66.88,65.97,66.78,66.25,"14,659,100"
"Jun 07, 2023",65.43,66.65,65.03,66.49,65.96,"19,264,800"
"Jun 06, 2023",65.73,65.84,65.2,65.38,64.86,"12,861,600"
"Jun 05, 2023",65.26,66.14,65.12,65.43,64.91,"12,044,500"
"Jun 02, 2023",64.12,65.37,63.97,65.12,64.6,"23,045,800"
"Jun 01, 2023",65.05,65.14,64.05,64.45,63.94,"18,653,200"
"May 31, 2023",64.37,65.22,63.96,64.93,64.41,"17,133,100"
"May 30, 2023",64.7,65.03,64.24,64.34,63.83,"15,582,900"
"May 26, 2023",64.49,64.64,63.93,64.59,64.07,"16,593,900"
"May 25, 2023",65.35,65.38,64.13,64.59,64.07,"16,126,100"
"May 24, 2023",65.81,66.05,65.36,65.47,64.95,"11,563,800"
"May 23, 2023",65.88,66.55,65.72,65.9,65.37,"12,064,000"
"May 22, 2023",66.28,66.62,65.89,66.13,65.6,"9,494,700"
"May 19, 2023",66.52,66.89,66.07,66.11,65.58,"12,472,000"
"May 18, 2023",66.1,66.28,65.63,66.21,65.68,"16,167,800"
"May 17, 2023",66.86,66.88,66.13,66.41,65.88,"17,088,300"
"May 16, 2023",68.08,68.21,66.61,66.65,66.12,"14,004,000"
"May 15, 2023",69.29,69.39,67.88,68.16,67.62,"13,185,100"
"May 12, 2023",69.03,69.47,68.62,69.03,68.48,"11,874,100"
"May 11, 2023",69.4,69.42,68.33,68.65,68.1,"14,874,100"
