Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",105.11,105.16,102.32,104.16,104.16,"17,566,400"
"Jul 27, 2023",106.00,106.99,104.74,105.42,105.42,"17,677,900"
"Jul 26, 2023",105.11,105.72,104.64,105.09,105.09,"15,159,600"
"Jul 25, 2023",105.06,106.09,104.54,105.68,105.68,"14,116,100"
"Jul 24, 2023",104.36,106.16,103.96,105.52,105.52,"15,090,900"
"Jul 21, 2023",104.16,104.38,103.26,103.89,103.89,"17,099,600"
"Jul 20, 2023",102.54,103.66,102.36,103.41,103.41,"15,740,200"
"Jul 19, 2023",101.05,102.40,100.80,101.62,101.62,"15,556,500"
"Jul 18, 2023",100.92,102.20,100.34,100.92,100.92,"24,617,800"
"Jul 17, 2023",100.72,101.67,100.22,101.38,101.38,"18,051,300"
"Jul 14, 2023",104.05,104.05,100.53,100.94,100.94,"28,165,400"
"Jul 13, 2023",105.97,106.23,103.32,104.54,104.54,"26,826,800"
"Jul 12, 2023",107.00,107.65,106.13,106.49,106.49,"13,238,200"
"Jul 11, 2023",105.26,106.16,104.81,105.97,105.97,"12,581,100"
"Jul 10, 2023",102.97,104.75,102.75,104.69,104.69,"14,877,600"
"Jul 07, 2023",101.92,104.00,101.56,103.16,103.16,"21,926,600"
"Jul 06, 2023",105.09,105.72,102.43,102.92,102.92,"17,961,400"
"Jul 05, 2023",107.63,107.92,106.10,106.91,106.91,"12,491,200"
"Jul 03, 2023",107.49,108.46,107.07,107.46,107.46,"7,397,000"
"Jun 30, 2023",107.32,107.88,106.81,107.25,107.25,"13,542,700"
"Jun 29, 2023",105.66,106.73,105.13,106.7,106.7,"11,364,400"
"Jun 28, 2023",104.31,105.82,103.2,105.4,105.4,"13,084,100"
"Jun 27, 2023",104.05,104.61,103.27,104.55,104.55,"13,227,500"
"Jun 26, 2023",102.2,104.91,102.2,104.29,104.29,"14,283,400"
"Jun 23, 2023",102.59,102.82,101.62,102.4,102.4,"17,933,600"
"Jun 22, 2023",102.84,103.89,102.65,103.3,103.3,"12,455,300"
"Jun 21, 2023",102.5,104.63,102.33,103.87,103.87,"13,285,700"
"Jun 20, 2023",104.68,104.77,102.12,102.72,102.72,"17,514,100"
"Jun 16, 2023",106.36,106.77,104.96,105.13,105.13,"43,124,000"
"Jun 15, 2023",105.5,107.03,105.44,105.89,105.89,"16,224,100"
"Jun 14, 2023",107.45,108.11,104.39,105.16,105.16,"16,627,700"
"Jun 13, 2023",107.38,108.34,106.28,106.44,106.44,"13,533,800"
"Jun 12, 2023",105.81,107.06,105.56,106.42,106.42,"14,112,000"
"Jun 09, 2023",108.46,108.61,107.16,107.39,107.39,"12,251,600"
"Jun 08, 2023",108.77,109.14,105.9,108.19,108.19,"13,517,100"
"Jun 07, 2023",106.79,108.89,106.73,108.53,108.53,"16,027,100"
"Jun 06, 2023",104.15,106.27,103.98,106.15,106.15,"12,209,800"
"Jun 05, 2023",107.19,107.19,105.09,105.29,105.29,"10,628,000"
"Jun 02, 2023",105.16,106.13,104.53,105.76,105.76,"14,110,300"
"Jun 01, 2023",101.75,105.58,101.26,103.36,103.36,"13,551,900"
"May 31, 2023",102.29,103.04,101.74,102.18,102.18,"24,926,100"
"May 30, 2023",103.29,104.12,102.61,104.04,104.04,"11,938,000"
"May 26, 2023",106.47,106.95,104.83,104.97,104.97,"12,370,300"
"May 25, 2023",105.94,106.43,104.71,105.66,105.66,"14,316,500"
"May 24, 2023",107.38,108.51,106.73,107.59,107.59,"16,340,300"
"May 23, 2023",105.99,108.22,105.75,106.4,106.4,"14,394,400"
"May 22, 2023",105.84,107.04,104.88,104.97,104.97,"12,882,000"
"May 19, 2023",106.57,107.05,105.82,106.26,106.26,"13,357,700"
"May 18, 2023",104.55,105.91,104.13,105.77,105.77,"12,005,600"
"May 17, 2023",103.39,105.23,102.85,104.82,104.82,"14,064,700"
"May 16, 2023",104.63,104.81,102.02,102.52,102.52,"14,795,200"
"May 15, 2023",105.51,105.93,104.58,105.07,105.07,"13,715,600"
"May 12, 2023",106.31,107.01,104.78,105.78,104.87,"12,608,300"
"May 11, 2023",106.49,106.82,104.93,105.79,104.88,"17,165,900"
"May 10, 2023",109.74,110.01,106.71,107.74,106.81,"14,884,800"
"May 09, 2023",108.34,110.23,108.21,109.14,108.2,"11,370,800"
"May 08, 2023",110.5,110.97,109.04,109.11,108.17,"11,187,800"
"May 05, 2023",108.55,109.43,107.53,108.68,107.75,"14,964,700"
"May 04, 2023",107.9,108.75,105.91,106.04,105.13,"17,177,200"
"May 03, 2023",109.08,109.81,107.76,107.93,107.0,"16,212,300"
"May 02, 2023",113.94,113.94,109.29,110.1,109.15,"24,324,100"
"May 01, 2023",115.99,117.3,114.45,114.67,113.68,"17,355,000"
"Apr 28, 2023",117.25,119.92,116.83,118.34,117.32,"24,374,000"
"Apr 27, 2023",115.62,117.01,114.88,116.83,115.82,"16,279,200"
"Apr 26, 2023",116.03,117.09,114.68,115.45,114.46,"15,566,100"
"Apr 25, 2023",117.55,117.74,115.63,116.52,115.52,"12,179,800"
"Apr 24, 2023",115.92,118.89,115.88,118.2,117.18,"15,831,300"
"Apr 21, 2023",116.49,116.88,115.26,116.01,115.01,"14,315,300"
"Apr 20, 2023",115.13,115.68,113.23,115.64,114.65,"17,038,700"
"Apr 19, 2023",116.08,116.9,115.77,116.57,115.57,"10,682,600"
"Apr 18, 2023",114.39,117.21,114.3,116.94,115.93,"17,436,100"
"Apr 17, 2023",115.49,116.51,114.42,114.7,113.71,"13,260,400"
"Apr 14, 2023",115.9,116.66,115.12,116.05,115.05,"11,530,800"
"Apr 13, 2023",114.6,115.89,114.13,115.77,114.77,"12,399,700"
"Apr 12, 2023",116.16,116.59,114.93,115.23,114.24,"10,919,000"
"Apr 11, 2023",114.96,116.2,114.38,115.35,114.36,"11,758,500"
"Apr 10, 2023",114.78,116.18,114.17,114.54,113.55,"13,006,600"
"Apr 06, 2023",116.86,117.18,114.77,115.05,114.06,"15,778,000"
"Apr 05, 2023",115.35,117.0,114.31,116.99,115.98,"16,479,500"
"Apr 04, 2023",116.26,116.7,114.17,115.02,114.03,"16,365,500"
"Apr 03, 2023",113.39,116.85,113.12,116.13,115.13,"28,087,700"
"Mar 31, 2023",109.68,110.17,109.05,109.66,108.72,"14,418,000"
"Mar 30, 2023",109.55,109.57,108.52,109.49,108.55,"11,578,200"
"Mar 29, 2023",108.06,109.16,107.49,108.96,108.02,"14,219,100"
"Mar 28, 2023",105.44,107.65,105.19,107.12,106.2,"11,047,600"
"Mar 27, 2023",104.74,106.48,103.91,105.8,104.89,"14,805,900"
"Mar 24, 2023",101.47,103.85,100.91,103.53,102.64,"13,401,600"
"Mar 23, 2023",105.36,106.34,102.44,103.41,102.52,"14,385,900"
"Mar 22, 2023",106.8,107.18,104.56,104.59,103.69,"14,952,700"
"Mar 21, 2023",104.17,107.28,104.13,107.04,106.12,"31,592,300"
"Mar 20, 2023",99.63,102.48,99.5,102.45,101.57,"32,042,100"
"Mar 17, 2023",100.6,101.61,99.14,99.84,98.98,"43,199,500"
"Mar 16, 2023",99.11,101.68,98.02,101.03,100.16,"27,465,200"
"Mar 15, 2023",102.82,104.2,100.22,101.62,100.75,"25,733,800"
"Mar 14, 2023",106.35,109.01,104.96,106.94,106.02,"18,263,500"
"Mar 13, 2023",105.34,107.86,103.72,106.54,105.62,"20,745,600"
"Mar 10, 2023",109.56,111.04,107.15,107.78,106.85,"15,795,700"
"Mar 09, 2023",110.87,112.23,109.03,109.13,108.19,"12,961,200"
"Mar 08, 2023",111.23,112.42,109.07,109.98,109.03,"13,509,800"
"Mar 07, 2023",112.81,113.17,111.17,111.61,110.65,"11,525,300"
"Mar 06, 2023",111.99,113.84,111.87,113.81,112.83,"14,347,400"
"Mar 03, 2023",110.05,113.37,109.95,112.81,111.84,"13,006,700"
"Mar 02, 2023",110.62,111.7,110.17,111.4,110.44,"10,339,900"
"Mar 01, 2023",109.31,111.86,109.24,110.89,109.94,"13,200,000"
"Feb 28, 2023",111.24,111.36,109.22,109.91,108.96,"18,107,000"
