Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",129.30,129.80,127.51,128.83,128.83,"3,119,100"
"Jun 29, 2023",125.93,128.11,125.67,128.07,128.07,"3,067,500"
"Jun 28, 2023",124.25,125.97,122.93,125.64,125.64,"4,131,000"
"Jun 27, 2023",123.24,124.69,122.12,124.23,124.23,"3,317,500"
"Jun 26, 2023",122.03,124.72,121.99,123.56,123.56,"2,877,200"
"Jun 23, 2023",120.70,122.51,120.42,121.68,121.68,"5,037,900"
"Jun 22, 2023",123.26,123.59,121.87,122.72,122.72,"5,073,700"
"Jun 21, 2023",123.30,125.99,123.17,125.09,125.09,"2,709,000"
"Jun 20, 2023",126.24,126.24,122.31,123.83,123.83,"4,641,400"
"Jun 16, 2023",128.35,128.36,126.33,127.74,126.91,"5,815,300"
"Jun 15, 2023",125.01,128.12,124.97,127.19,126.36,"5,224,500"
"Jun 14, 2023",127.81,128.16,123.24,124.70,123.89,"4,704,600"
"Jun 13, 2023",126.80,129.40,126.39,126.46,125.64,"5,139,100"
"Jun 12, 2023",124.94,126.91,123.81,125.16,124.34,"6,450,700"
"Jun 09, 2023",127.75,128.81,126.56,127.29,126.46,"4,687,000"
"Jun 08, 2023",129.00,129.53,125.86,128.41,127.57,"5,526,600"
"Jun 07, 2023",125.51,129.24,125.22,129.08,128.24,"5,634,700"
"Jun 06, 2023",120.48,124.63,120.09,124.50,123.69,"4,286,000"
"Jun 05, 2023",126.22,126.51,121.96,122.13,121.33,"4,355,600"
"Jun 02, 2023",121.71,124.47,120.86,123.86,123.05,"6,444,800"
"Jun 01, 2023",118.36,120.82,117.42,118.97,118.20,"3,817,000"
"May 31, 2023",118.00,119.39,117.39,118.09,117.32,"5,110,200"
"May 30, 2023",120.23,120.50,118.26,119.92,119.14,"4,693,700"
"May 26, 2023",123.67,123.74,121.19,122.34,121.54,"2,858,700"
"May 25, 2023",123.83,124.05,121.54,122.76,121.96,"4,056,200"
"May 24, 2023",126.31,127.18,124.46,126.16,125.34,"5,423,400"
"May 23, 2023",126.39,127.57,125.33,125.50,124.68,"3,214,000"
"May 22, 2023",123.06,126.34,122.90,125.18,124.36,"5,192,800"
"May 19, 2023",124.16,124.92,122.27,123.04,122.24,"3,892,300"
"May 18, 2023",119.75,122.97,118.73,122.81,122.01,"3,481,400"
"May 17, 2023",119.39,121.25,117.72,120.39,119.61,"4,266,100"
"May 16, 2023",120.50,121.41,117.77,117.81,117.04,"3,940,100"
"May 15, 2023",120.17,122.31,119.26,121.27,120.48,"5,372,400"
"May 12, 2023",119.10,119.66,117.12,119.02,118.24,"4,149,300"
"May 11, 2023",117.37,118.58,116.86,117.92,117.15,"4,060,600"
"May 10, 2023",120.28,120.78,118.04,119.31,118.53,"3,378,400"
"May 09, 2023",119.23,121.39,118.46,120.00,119.22,"3,587,500"
"May 08, 2023",123.40,124.12,120.43,120.66,119.87,"4,350,200"
"May 05, 2023",119.93,121.59,119.55,120.33,119.55,"4,342,300"
"May 04, 2023",118.08,119.68,115.89,116.28,115.52,"6,469,800"
"May 03, 2023",118.24,120.33,117.42,118.05,117.28,"5,788,000"
"May 02, 2023",124.30,124.40,118.61,120.40,119.62,"6,258,700"
"May 01, 2023",125.27,127.43,124.80,126.22,125.40,"4,266,700"
"Apr 28, 2023",124.02,128.15,123.18,127.11,126.28,"6,155,800"
"Apr 27, 2023",123.27,124.61,121.69,123.79,122.98,"3,993,700"
"Apr 26, 2023",124.44,125.34,121.90,122.84,122.04,"4,996,500"
"Apr 25, 2023",127.59,127.72,124.52,125.02,124.21,"4,636,200"
"Apr 24, 2023",126.36,129.82,126.19,129.24,128.40,"3,510,100"
"Apr 21, 2023",128.53,128.69,126.26,126.91,126.08,"3,064,200"
"Apr 20, 2023",128.16,128.83,126.74,128.02,127.19,"3,786,500"
"Apr 19, 2023",129.38,130.12,127.76,130.08,129.23,"5,528,000"
"Apr 18, 2023",131.89,131.99,130.18,131.56,130.70,"3,447,100"
"Apr 17, 2023",134.82,134.95,131.53,132.01,131.15,"5,120,600"
"Apr 14, 2023",134.50,135.54,133.20,134.42,133.54,"3,112,000"
