Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",12.74,13.53,12.49,13.42,13.42,"42,235,800"
"Jun 29, 2023",11.75,11.99,11.40,11.83,11.83,"15,905,800"
"Jun 28, 2023",11.41,11.93,11.18,11.78,11.78,"19,013,100"
"Jun 27, 2023",10.32,11.00,10.29,10.98,10.98,"11,998,700"
"Jun 26, 2023",10.27,10.48,10.09,10.16,10.16,"8,363,200"
"Jun 23, 2023",9.95,10.08,9.64,9.90,9.90,"12,312,300"
"Jun 22, 2023",10.56,10.56,10.27,10.56,10.56,"6,642,800"
"Jun 21, 2023",11.06,11.33,10.55,10.63,10.63,"9,902,400"
"Jun 20, 2023",10.78,10.91,10.60,10.88,10.88,"13,559,100"
"Jun 16, 2023",11.78,11.87,11.15,11.38,11.38,"17,474,800"
"Jun 15, 2023",11.05,11.94,11.04,11.59,11.59,"26,725,000"
"Jun 14, 2023",10.60,10.93,10.49,10.80,10.80,"18,884,700"
"Jun 13, 2023",10.21,10.34,9.93,10.29,10.29,"17,435,500"
"Jun 12, 2023",9.65,10.35,9.63,9.86,9.86,"41,728,600"
"Jun 09, 2023",8.77,9.35,8.77,8.87,8.87,"24,901,800"
"Jun 08, 2023",8.51,8.61,8.34,8.46,8.46,"7,380,800"
"Jun 07, 2023",8.54,8.65,8.31,8.38,8.38,"11,131,300"
"Jun 06, 2023",8.45,8.69,8.25,8.65,8.65,"16,810,300"
"Jun 05, 2023",8.54,8.66,8.40,8.45,8.45,"7,274,300"
"Jun 02, 2023",8.43,8.75,8.34,8.44,8.44,"17,863,000"
"Jun 01, 2023",7.78,8.20,7.51,8.02,8.02,"14,190,600"
"May 31, 2023",8.06,8.08,7.69,7.88,7.88,"10,296,500"
"May 30, 2023",8.05,8.26,7.81,7.87,7.87,"19,209,500"
"May 26, 2023",8.08,8.27,7.80,8.20,8.20,"12,801,000"
"May 25, 2023",8.11,8.13,7.85,8.01,8.01,"15,511,000"
"May 24, 2023",8.26,8.78,8.00,8.65,8.65,"28,774,600"
"May 23, 2023",9.20,9.31,9.08,9.11,9.11,"10,653,400"
"May 22, 2023",9.26,9.65,9.20,9.41,9.41,"10,011,700"
"May 19, 2023",9.05,9.25,8.91,9.02,9.02,"11,722,400"
"May 18, 2023",9.41,9.45,9.05,9.13,9.13,"11,911,000"
"May 17, 2023",9.38,9.66,9.28,9.58,9.58,"9,014,700"
"May 16, 2023",9.58,9.64,9.37,9.51,9.51,"6,167,800"
"May 15, 2023",9.91,9.91,9.51,9.80,9.80,"6,707,400"
"May 12, 2023",10.11,10.16,9.60,9.82,9.82,"21,414,700"
"May 11, 2023",10.28,10.77,10.21,10.75,10.75,"11,238,700"
"May 10, 2023",10.24,10.43,9.99,10.30,10.30,"8,360,100"
"May 09, 2023",9.95,10.56,9.88,10.09,10.09,"12,001,600"
"May 08, 2023",10.62,10.81,10.39,10.55,10.55,"7,749,200"
"May 05, 2023",10.24,10.61,10.21,10.40,10.40,"9,047,800"
"May 04, 2023",9.86,10.31,9.69,10.15,10.15,"14,572,600"
"May 03, 2023",9.58,9.88,9.56,9.67,9.67,"6,751,400"
"May 02, 2023",9.73,9.90,9.57,9.75,9.75,"7,743,700"
"May 01, 2023",9.39,9.94,9.27,9.90,9.90,"10,709,300"
"Apr 28, 2023",9.55,9.64,9.40,9.50,9.50,"5,882,000"
"Apr 27, 2023",9.30,9.75,9.27,9.73,9.73,"8,218,600"
"Apr 26, 2023",9.30,9.53,8.98,9.18,9.18,"11,518,400"
"Apr 25, 2023",9.14,9.25,8.63,8.84,8.84,"16,162,200"
"Apr 24, 2023",9.25,9.36,9.18,9.29,9.29,"8,081,700"
"Apr 21, 2023",9.30,9.34,9.02,9.25,9.25,"9,199,800"
"Apr 20, 2023",9.61,9.62,9.14,9.33,9.33,"14,656,400"
"Apr 19, 2023",10.48,10.50,9.81,9.87,9.87,"22,457,100"
"Apr 18, 2023",11.14,11.55,11.12,11.28,11.28,"11,253,000"
"Apr 17, 2023",11.04,11.43,10.93,11.43,11.43,"18,578,100"
"Apr 14, 2023",9.84,10.20,9.75,9.92,9.92,"6,293,700"
"Apr 13, 2023",10.10,10.18,9.77,9.98,9.98,"7,151,900"
"Apr 12, 2023",10.42,10.47,9.90,9.91,9.91,"8,763,500"
"Apr 11, 2023",10.48,10.77,10.41,10.49,10.49,"10,333,200"
"Apr 10, 2023",10.04,10.31,9.99,10.28,10.28,"4,984,400"
"Apr 06, 2023",10.30,10.39,10.11,10.26,10.26,"5,016,400"
"Apr 05, 2023",10.09,10.16,9.82,10.04,10.04,"7,666,500"
"Apr 04, 2023",10.56,10.72,10.02,10.20,10.20,"10,612,400"
"Apr 03, 2023",11.45,11.55,10.77,11.00,11.00,"11,725,100"
"Mar 31, 2023",11.24,11.52,11.08,11.11,11.11,"10,707,000"
"Mar 30, 2023",11.42,11.68,11.26,11.39,11.39,"14,934,500"
"Mar 29, 2023",10.57,11.50,10.54,11.19,11.19,"27,400,100"
"Mar 28, 2023",10.22,10.32,10.04,10.25,10.25,"14,596,900"
"Mar 27, 2023",9.66,9.87,9.50,9.71,9.71,"7,218,000"
"Mar 24, 2023",9.67,9.79,9.47,9.62,9.62,"8,064,600"
"Mar 23, 2023",10.06,10.40,9.72,9.91,9.91,"15,974,200"
"Mar 22, 2023",10.06,10.10,9.63,9.70,9.70,"11,268,300"
"Mar 21, 2023",9.48,10.20,9.48,9.91,9.91,"22,987,400"
"Mar 20, 2023",8.36,9.37,8.34,9.15,9.15,"23,771,500"
"Mar 17, 2023",8.50,9.49,8.49,8.84,8.84,"29,083,600"
"Mar 16, 2023",8.00,8.44,7.96,8.33,8.33,"13,119,400"
"Mar 15, 2023",7.69,8.25,7.66,8.10,8.10,"13,598,200"
"Mar 14, 2023",8.02,8.17,7.86,7.92,7.92,"13,111,500"
"Mar 13, 2023",8.06,8.33,7.85,8.27,8.27,"12,576,800"
"Mar 10, 2023",8.22,8.38,8.03,8.18,8.18,"10,534,000"
"Mar 09, 2023",8.33,8.45,8.11,8.29,8.29,"15,842,800"
"Mar 08, 2023",8.49,8.58,8.27,8.44,8.44,"9,807,600"
"Mar 07, 2023",9.04,9.05,8.54,8.63,8.63,"18,893,600"
"Mar 06, 2023",9.61,9.63,9.28,9.37,9.37,"10,145,500"
"Mar 03, 2023",9.37,9.71,9.26,9.62,9.62,"9,091,000"
"Mar 02, 2023",8.95,9.39,8.77,9.33,9.33,"12,871,800"
"Mar 01, 2023",9.21,9.25,8.67,8.86,8.86,"12,896,000"
"Feb 28, 2023",8.75,9.18,8.72,8.92,8.92,"14,581,400"
"Feb 27, 2023",8.84,8.91,8.44,8.60,8.60,"13,173,000"
"Feb 24, 2023",8.74,8.75,8.22,8.40,8.40,"17,792,700"
"Feb 23, 2023",9.21,9.23,8.73,9.05,9.05,"11,596,200"
"Feb 22, 2023",9.23,9.31,9.03,9.21,9.21,"6,454,300"
"Feb 21, 2023",9.43,9.64,9.19,9.22,9.22,"8,544,600"
"Feb 17, 2023",9.45,9.70,9.34,9.53,9.53,"9,025,800"
"Feb 16, 2023",9.41,9.85,9.38,9.70,9.70,"13,636,800"
"Feb 15, 2023",9.09,9.45,9.08,9.43,9.43,"11,224,000"
"Feb 14, 2023",9.32,9.51,9.06,9.44,9.44,"9,826,100"
"Feb 13, 2023",9.66,9.75,9.34,9.46,9.46,"9,916,600"
"Feb 10, 2023",9.39,9.55,9.10,9.29,9.29,"12,434,800"
"Feb 09, 2023",10.27,10.40,9.55,9.75,9.75,"17,616,500"
"Feb 08, 2023",10.09,10.18,9.75,9.84,9.84,"13,785,000"
"Feb 07, 2023",10.44,10.48,10.03,10.34,10.34,"9,651,300"
"Feb 06, 2023",10.21,10.50,10.11,10.45,10.45,"9,651,500"
"Feb 03, 2023",10.77,11.26,10.42,10.50,10.50,"15,553,500"
"Feb 02, 2023",11.25,11.55,10.91,11.05,11.05,"20,385,300"
"Feb 01, 2023",10.96,11.30,10.60,11.13,11.13,"20,500,400"
"Jan 31, 2023",10.20,10.82,10.08,10.64,10.64,"21,769,400"
"Jan 30, 2023",10.32,10.42,9.87,10.02,10.02,"19,064,600"
"Jan 27, 2023",10.16,11.31,10.06,10.69,10.69,"28,056,300"
"Jan 26, 2023",10.45,10.46,9.97,10.24,10.24,"16,775,400"
"Jan 25, 2023",9.55,9.85,9.38,9.77,9.77,"10,482,100"
"Jan 24, 2023",10.67,10.67,9.68,9.69,9.69,"14,729,600"
"Jan 23, 2023",9.62,10.67,9.60,10.10,10.10,"28,341,600"
"Jan 20, 2023",9.21,9.88,9.03,9.40,9.40,"20,213,100"
"Jan 19, 2023",9.12,9.32,8.85,8.95,8.95,"15,296,000"
"Jan 18, 2023",9.45,9.61,9.06,9.11,9.11,"18,357,200"
"Jan 17, 2023",9.53,9.59,9.11,9.36,9.36,"24,980,400"
"Jan 13, 2023",9.63,10.08,9.63,9.99,9.99,"14,824,400"
"Jan 12, 2023",9.86,10.17,9.55,10.11,10.11,"19,037,800"
"Jan 11, 2023",9.88,10.03,9.54,10.01,10.01,"22,349,500"
"Jan 10, 2023",10.38,10.41,9.85,10.09,10.09,"22,326,000"
"Jan 09, 2023",10.29,10.48,9.90,9.91,9.91,"24,729,500"
"Jan 06, 2023",10.52,10.58,9.85,10.11,10.11,"41,106,700"
"Jan 05, 2023",11.12,12.09,11.06,11.90,11.90,"21,958,400"
"Jan 04, 2023",10.57,11.97,10.31,11.56,11.56,"31,419,600"
"Jan 03, 2023",10.63,10.97,9.73,10.18,10.18,"27,129,700"
"Dec 30, 2022",9.73,10.09,9.66,9.94,9.94,"11,719,300"
"Dec 29, 2022",9.75,10.05,9.54,9.88,9.88,"15,350,100"
"Dec 28, 2022",9.72,9.97,9.24,9.39,9.39,"16,766,700"
"Dec 27, 2022",9.89,9.93,9.46,9.80,9.80,"18,615,300"
"Dec 23, 2022",10.71,10.75,10.00,10.06,10.06,"15,949,500"
"Dec 22, 2022",11.18,11.25,10.29,10.83,10.83,"20,323,700"
"Dec 21, 2022",9.99,11.33,9.91,11.30,11.30,"26,714,500"
"Dec 20, 2022",9.25,10.30,9.23,10.19,10.19,"26,627,200"
"Dec 19, 2022",10.40,10.40,9.36,9.66,9.66,"28,675,600"
"Dec 16, 2022",10.55,11.15,10.30,10.30,10.30,"25,982,800"
"Dec 15, 2022",10.69,10.85,10.04,10.13,10.13,"22,494,200"
"Dec 14, 2022",10.22,10.43,9.93,10.19,10.19,"21,640,300"
"Dec 13, 2022",11.01,11.39,10.12,10.31,10.31,"25,946,800"
"Dec 12, 2022",10.29,10.58,10.04,10.47,10.47,"20,614,900"
"Dec 09, 2022",11.44,11.49,10.93,10.94,10.94,"28,229,900"
"Dec 08, 2022",11.65,12.05,11.08,11.82,11.82,"36,408,100"
"Dec 07, 2022",11.02,11.08,10.35,11.00,11.00,"34,072,500"
"Dec 06, 2022",11.55,12.36,11.26,11.69,11.69,"50,168,400"
"Dec 05, 2022",12.96,13.10,10.88,11.34,11.34,"67,357,500"
"Dec 02, 2022",10.08,12.88,10.08,11.45,11.45,"94,894,900"
"Dec 01, 2022",10.08,10.22,9.67,9.97,9.97,"45,221,700"
"Nov 30, 2022",8.54,10.95,8.53,10.81,10.81,"173,509,600"
"Nov 29, 2022",7.28,7.62,7.19,7.34,7.34,"34,914,000"
"Nov 28, 2022",6.90,7.31,6.88,6.89,6.89,"18,284,100"
"Nov 25, 2022",7.04,7.09,6.82,7.07,7.07,"11,975,600"
"Nov 23, 2022",7.19,7.49,7.16,7.31,7.31,"22,787,400"
"Nov 22, 2022",7.08,7.18,6.93,7.03,7.03,"20,911,600"
"Nov 21, 2022",7.54,7.54,7.10,7.32,7.32,"25,768,000"
"Nov 18, 2022",7.89,8.22,7.62,7.76,7.76,"26,596,900"
"Nov 17, 2022",8.01,8.05,7.53,8.00,8.00,"47,052,300"
"Nov 16, 2022",8.67,8.80,7.83,8.03,8.03,"41,186,200"
"Nov 15, 2022",9.39,9.55,8.76,9.02,9.02,"54,165,600"
"Nov 14, 2022",9.04,9.16,8.25,8.64,8.64,"56,424,500"
"Nov 11, 2022",7.46,8.60,7.20,8.49,8.49,"63,424,700"
